# Phase 60 rail-engagement evidence: NCCL_DEBUG=INFO 'NET/IB : Using' lines
# from run_smoke_nccl.sh (nospec b8, 1-rail env). One line per rank.

## h107
h107:387928:387928 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>
h107:387924:387924 [5] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>
h107:387923:387923 [3] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>
h107:387925:387925 [1] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>
h107:387926:387926 [2] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>
h107:387907:387907 [6] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>
h107:387922:387922 [4] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>
h107:387927:387927 [7] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.17<0>

## h106
h106:3238608:3238608 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
h106:3238613:3238613 [6] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
h106:3238610:3238610 [5] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
h106:3238609:3238609 [4] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
h106:3238607:3238607 [3] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
h106:3238612:3238612 [2] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
h106:3238611:3238611 [1] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
h106:3238596:3238596 [7] NCCL INFO NET/IB : Using [0]mlx5_0:1/RoCE [RO]; OOB enmlx0:192.168.0.16<0>
