-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                gpu_model_runner: draft         0.00%       0.000us         0.00%       0.000us       0.000us        2.959s        79.59%        2.959s       1.007ms          2940  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.672s        44.97%        1.672s     362.858us          4608  
                              gpu_model_runner: forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.366s        36.73%        1.366s     498.648us          2739  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     796.064ms        21.41%     796.064ms     172.757us          4608  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us     507.068ms        13.64%     507.068ms      36.443us         13914  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     256.123ms         6.89%     256.123ms      61.332us          4176  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     218.971ms         5.89%     218.971ms      23.760us          9216  
                                       _vllm_fa3_C::fwd         0.91%      35.802ms         2.09%      82.068ms      27.139us     112.891ms         3.04%     112.911ms      37.338us          3024  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      48.537ms         1.31%      48.537ms     202.239us           240  
                           gpu_model_runner: preprocess         0.00%       0.000us         0.00%       0.000us       0.000us      47.833ms         1.29%      47.833ms       1.594ms            30  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.779ms         0.99%      36.779ms       7.981us          4608  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      30.235ms         0.81%      30.235ms       6.561us          4608  
void vllm::moe::topkGating<8, 128, 4, 16, 32, int, _...         0.00%       0.000us         0.00%       0.000us       0.000us      19.342ms         0.52%      19.342ms       4.198us          4608  
                                     record_param_comms         0.20%       7.938ms         0.24%       9.547ms      99.450us      17.396ms         0.47%      17.396ms     181.210us            96  
ncclDevKernel_AllReduce_Sum_u32_TREE_LL(ncclDevKerne...         0.00%       0.000us         0.00%       0.000us       0.000us      17.396ms         0.47%      17.396ms     181.210us            96  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us      17.396ms         0.47%      17.396ms     181.210us            96  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us      15.671ms         0.42%      15.671ms       3.401us          4608  
