-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              gpu_model_runner: forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.395s        46.41%        1.395s     569.328us          2451  
                                gpu_model_runner: draft         0.00%       0.000us         0.00%       0.000us       0.000us        1.139s        37.89%        1.139s      21.094ms            54  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     761.615ms        25.33%     761.615ms     495.843us          1536  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     681.895ms        22.68%     681.895ms      44.394us         15360  
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us     324.087ms        10.78%     324.087ms     210.994us          1536  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     260.974ms         8.68%     260.974ms      40.274us          6480  
                                     record_param_comms         0.08%       2.675ms         0.10%       3.278ms     102.428us     242.300ms         8.06%     242.300ms       7.572ms            32  
ncclDevKernel_AllReduce_Sum_u32_TREE_LL(ncclDevKerne...         0.00%       0.000us         0.00%       0.000us       0.000us     242.300ms         8.06%     242.300ms       7.572ms            32  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     242.300ms         8.06%     242.300ms       7.572ms            32  
                               matmul_kernel_persistent         0.00%       0.000us         0.00%       0.000us       0.000us     216.750ms         7.21%     216.750ms      45.699us          4743  
                           gpu_model_runner: preprocess         0.00%       0.000us         0.00%       0.000us       0.000us     194.714ms         6.48%     194.714ms       7.212ms            27  
                                       _vllm_fa3_C::fwd         1.73%      54.941ms        11.37%     360.463ms      67.654us     147.355ms         4.90%     164.585ms      30.891us          5328  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_sm...         0.00%       0.000us         0.00%       0.000us       0.000us      91.798ms         3.05%      91.798ms       7.471us         12288  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      48.851ms         1.62%      48.851ms     203.544us           240  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      44.023ms         1.46%      44.023ms       5.732us          7680  
void vllm::moe::topkGating<8, 128, 4, 16, 32, int, _...         0.00%       0.000us         0.00%       0.000us       0.000us      36.537ms         1.22%      36.537ms       4.757us          7680  
void vllm::segmented_max_reduction_strided<c10::BFlo...         0.00%       0.000us         0.00%       0.000us       0.000us      31.391ms         1.04%      31.391ms       2.555us         12288  
