group,arm,batch,ctx,tpot_ms,runs,denom,ratio,overpool
dense,d_bf16dummy,1,2,6.003,2,d_bf16,1.003,0
dense,d_bf16dummy,1,16,6.079,2,d_bf16,1.0028,0
dense,d_bf16dummy,1,32,6.26,2,d_bf16,1.006,0
dense,d_bf16dummy,8,2,6.489,2,d_bf16,0.9964,0
dense,d_bf16dummy,8,16,8.23,2,d_bf16,1.0118,0
dense,d_bf16dummy,8,32,9.921,2,d_bf16,1.0129,0
dense,d_bf16dummy,32,2,7.519,2,d_bf16,0.9946,0
dense,d_bf16dummy,32,16,12.421,2,d_bf16,1.015,0
dense,d_bf16dummy,32,32,116.982,4,d_bf16,0.8333,1
dense,d_fp8w8a8,1,2,4.243,2,d_bf16,0.7091,0
dense,d_fp8w8a8,1,16,4.365,2,d_bf16,0.72,0
dense,d_fp8w8a8,1,32,4.436,2,d_bf16,0.713,0
dense,d_fp8w8a8,8,2,4.588,2,d_bf16,0.7045,0
dense,d_fp8w8a8,8,16,6.333,2,d_bf16,0.7786,0
dense,d_fp8w8a8,8,32,8.028,2,d_bf16,0.8196,0
dense,d_fp8w8a8,32,2,5.952,2,d_bf16,0.7874,0
dense,d_fp8w8a8,32,16,10.153,2,d_bf16,0.8296,0
dense,d_fp8w8a8,32,32,13.917,2,d_bf16,0.0991,1
dense,d_kvq,1,2,6.085,2,d_bf16,1.0168,0
dense,d_kvq,1,16,6.123,2,d_bf16,1.01,0
dense,d_kvq,1,32,6.195,2,d_bf16,0.9957,0
dense,d_kvq,8,2,6.39,2,d_bf16,0.9812,0
dense,d_kvq,8,16,7.353,2,d_bf16,0.904,0
dense,d_kvq,8,32,8.424,2,d_bf16,0.86,0
dense,d_kvq,32,2,7.131,2,d_bf16,0.9433,0
dense,d_kvq,32,16,10.658,2,d_bf16,0.8709,0
dense,d_kvq,32,32,13.079,2,d_bf16,0.0932,1
dense,d_skip25,1,2,4.67,2,d_bf16dummy,0.778,0
dense,d_skip25,1,32,4.751,2,d_bf16dummy,0.7589,0
dense,d_skip25,32,2,5.787,2,d_bf16dummy,0.7696,0
dense,d_skip25,32,32,10.792,2,d_bf16dummy,0.0923,1
dense,d_skip50,1,2,3.424,2,d_bf16dummy,0.5704,0
dense,d_skip50,1,16,3.315,2,d_bf16dummy,0.5453,0
dense,d_skip50,1,32,3.334,2,d_bf16dummy,0.5326,0
dense,d_skip50,8,2,3.671,2,d_bf16dummy,0.5657,0
dense,d_skip50,8,16,4.214,2,d_bf16dummy,0.5121,0
dense,d_skip50,8,32,4.589,2,d_bf16dummy,0.4625,0
dense,d_skip50,32,2,4.07,2,d_bf16dummy,0.5413,0
dense,d_skip50,32,16,5.438,2,d_bf16dummy,0.4378,0
dense,d_skip50,32,32,5.79,2,d_bf16dummy,0.0495,1
dense,d_w4machete,1,2,4.361,2,d_bf16,0.7288,0
dense,d_w4machete,1,16,4.452,2,d_bf16,0.7343,0
dense,d_w4machete,1,32,4.623,2,d_bf16,0.7429,0
dense,d_w4machete,8,2,4.656,2,d_bf16,0.715,0
dense,d_w4machete,8,16,6.369,2,d_bf16,0.7831,0
dense,d_w4machete,8,32,7.998,2,d_bf16,0.8165,0
dense,d_w4machete,32,2,6.078,2,d_bf16,0.804,0
dense,d_w4machete,32,16,10.128,2,d_bf16,0.8276,0
dense,d_w4machete,32,32,13.581,2,d_bf16,0.0967,1
dense,d_w4marlin,1,2,3.615,2,d_bf16,0.6041,0
dense,d_w4marlin,1,16,3.61,2,d_bf16,0.5954,0
dense,d_w4marlin,1,32,3.776,2,d_bf16,0.6069,0
dense,d_w4marlin,8,2,3.881,2,d_bf16,0.596,0
dense,d_w4marlin,8,16,5.445,2,d_bf16,0.6694,0
dense,d_w4marlin,8,32,6.779,2,d_bf16,0.6921,0
dense,d_w4marlin,32,2,5.301,2,d_bf16,0.7013,0
dense,d_w4marlin,32,16,9.25,2,d_bf16,0.7558,0
dense,d_w4marlin,32,32,12.231,2,d_bf16,0.0871,1
dense,d_win128,1,2,6.002,2,d_bf16,1.0029,0
dense,d_win128,1,16,5.774,2,d_bf16,0.9523,0
dense,d_win128,1,32,5.629,2,d_bf16,0.9047,0
dense,d_win128,8,2,6.211,2,d_bf16,0.9538,0
dense,d_win128,8,16,6.048,2,d_bf16,0.7435,0
dense,d_win128,8,32,6.098,2,d_bf16,0.6226,0
dense,d_win128,32,2,6.39,2,d_bf16,0.8453,0
dense,d_win128,32,16,6.483,2,d_bf16,0.5298,0
dense,d_win128,32,32,6.743,2,d_bf16,0.048,1
dense,d_win,1,2,5.984,2,d_bf16,1.0,0
dense,d_win,1,16,5.753,2,d_bf16,0.949,0
dense,d_win,1,32,5.609,2,d_bf16,0.9014,0
dense,d_win,8,2,6.2,2,d_bf16,0.952,0
dense,d_win,8,16,6.096,2,d_bf16,0.7495,0
dense,d_win,8,32,6.13,2,d_bf16,0.6258,0
dense,d_win,16,8,6.38,2,d_bf16,0.7545,0
dense,d_win,32,2,6.643,2,d_bf16,0.8788,0
dense,d_win,32,16,6.623,2,d_bf16,0.5412,0
dense,d_win,32,32,6.828,2,d_bf16,0.0486,1
mla,ds_bf16dummy,4,2,6.124,2,ds_bf16,0.8936,0
mla,ds_bf16dummy,4,16,6.816,2,ds_bf16,1.0379,0
mla,ds_bf16dummy,4,32,6.749,2,ds_bf16,0.8819,0
mla,ds_bf16dummy,8,2,6.608,2,ds_bf16,0.9503,0
mla,ds_bf16dummy,8,16,9.108,2,ds_bf16,1.0276,0
mla,ds_bf16dummy,8,32,9.558,2,ds_bf16,0.8078,0
mla,ds_bf16dummy,32,2,7.135,2,ds_bf16,0.9004,0
mla,ds_bf16dummy,32,16,19.022,2,ds_bf16,1.0802,0
mla,ds_bf16dummy,32,32,30.915,2,ds_bf16,1.1812,0
mla,ds_bf16fmla,4,2,6.542,2,ds_bf16,0.9546,0
mla,ds_bf16fmla,4,16,7.569,2,ds_bf16,1.1526,0
mla,ds_bf16fmla,4,32,8.89,2,ds_bf16,1.1617,0
mla,ds_bf16fmla,8,2,7.004,2,ds_bf16,1.0073,0
mla,ds_bf16fmla,8,16,8.323,2,ds_bf16,0.939,0
mla,ds_bf16fmla,8,32,13.62,2,ds_bf16,1.151,0
mla,ds_bf16fmla,32,2,8.514,2,ds_bf16,1.0744,0
mla,ds_bf16fmla,32,16,16.783,2,ds_bf16,0.9531,0
mla,ds_bf16fmla,32,32,24.121,2,ds_bf16,0.9216,0
mla,ds_fp8block,4,2,12.99,2,ds_bf16,1.8955,0
mla,ds_fp8block,4,16,8.286,2,ds_bf16,1.2618,0
mla,ds_fp8block,4,32,8.334,2,ds_bf16,1.0891,0
mla,ds_fp8block,8,2,6.568,2,ds_bf16,0.9446,0
mla,ds_fp8block,8,16,8.772,2,ds_bf16,0.9897,0
mla,ds_fp8block,8,32,10.625,2,ds_bf16,0.8979,0
mla,ds_fp8block,32,2,8.299,2,ds_bf16,1.0473,0
mla,ds_fp8block,32,16,18.798,2,ds_bf16,1.0675,0
mla,ds_fp8block,32,32,27.268,2,ds_bf16,1.0419,0
mla,ds_fp8marlin,4,2,6.132,2,ds_bf16,0.8948,0
mla,ds_fp8marlin,4,16,7.457,2,ds_bf16,1.1356,0
mla,ds_fp8marlin,4,32,6.953,2,ds_bf16,0.9086,0
mla,ds_fp8marlin,8,2,6.724,2,ds_bf16,0.9671,0
mla,ds_fp8marlin,8,16,8.775,2,ds_bf16,0.99,0
mla,ds_fp8marlin,8,32,13.088,2,ds_bf16,1.106,0
mla,ds_fp8marlin,32,2,7.207,2,ds_bf16,0.9095,0
mla,ds_fp8marlin,32,16,14.958,2,ds_bf16,0.8495,0
mla,ds_fp8marlin,32,32,24.637,2,ds_bf16,0.9413,0
mla,ds_kvq,4,2,5.537,2,ds_bf16fmla,0.8464,0
mla,ds_kvq,4,16,6.661,2,ds_bf16fmla,0.88,0
mla,ds_kvq,4,32,7.462,2,ds_bf16fmla,0.8394,0
mla,ds_kvq,8,2,7.626,2,ds_bf16fmla,1.0888,0
mla,ds_kvq,8,16,9.29,2,ds_bf16fmla,1.1162,0
mla,ds_kvq,8,32,12.482,2,ds_bf16fmla,0.9164,0
mla,ds_kvq,32,2,8.868,2,ds_bf16fmla,1.0415,0
mla,ds_kvq,32,16,17.106,2,ds_bf16fmla,1.0193,0
mla,ds_kvq,32,32,22.099,2,ds_bf16fmla,0.9162,0
mla,ds_skip50,4,2,5.272,2,ds_bf16dummy,0.8609,0
mla,ds_skip50,4,16,4.719,2,ds_bf16dummy,0.6923,0
mla,ds_skip50,4,32,6.221,2,ds_bf16dummy,0.9219,0
mla,ds_skip50,8,2,6.718,2,ds_bf16dummy,1.0167,0
mla,ds_skip50,8,16,5.681,2,ds_bf16dummy,0.6237,0
mla,ds_skip50,8,32,5.974,2,ds_bf16dummy,0.625,0
mla,ds_skip50,32,2,5.121,2,ds_bf16dummy,0.7176,0
mla,ds_skip50,32,16,11.442,2,ds_bf16dummy,0.6015,0
mla,ds_skip50,32,32,17.902,2,ds_bf16dummy,0.5791,0
mla,ds_win,4,2,5.967,2,ds_bf16,0.8707,0
mla,ds_win,4,16,6.989,2,ds_bf16,1.0642,0
mla,ds_win,4,32,8.754,2,ds_bf16,1.1439,0
mla,ds_win,8,2,7.193,2,ds_bf16,1.0344,0
mla,ds_win,8,16,9.044,2,ds_bf16,1.0203,0
mla,ds_win,8,32,8.579,2,ds_bf16,0.725,0
mla,ds_win,32,2,8.401,2,ds_bf16,1.0601,0
mla,ds_win,32,16,15.371,2,ds_bf16,0.8729,0
mla,ds_win,32,32,25.535,2,ds_bf16,0.9756,0
moe,m_bf16dummy,4,2,8.421,4,m_bf16,1.1011,0
moe,m_bf16dummy,4,16,9.372,4,m_bf16,0.9973,0
moe,m_bf16dummy,4,32,13.477,4,m_bf16,0.855,0
moe,m_bf16dummy,8,2,9.467,2,m_bf16,1.0559,0
moe,m_bf16dummy,8,16,13.959,2,m_bf16,0.9999,0
moe,m_bf16dummy,8,32,20.327,2,m_bf16,1.203,0
moe,m_bf16dummy,32,2,12.608,2,m_bf16,1.1468,0
moe,m_bf16dummy,32,16,27.947,2,m_bf16,0.9804,0
moe,m_bf16dummy,32,32,59.955,2,m_bf16,0.9499,0
moe,m_fp8block,4,2,7.923,2,m_bf16,1.0361,0
moe,m_fp8block,4,16,8.604,4,m_bf16,0.9155,0
moe,m_fp8block,4,32,11.606,4,m_bf16,0.7363,0
moe,m_fp8block,8,2,9.052,2,m_bf16,1.0097,0
moe,m_fp8block,8,16,13.807,2,m_bf16,0.9891,0
moe,m_fp8block,8,32,19.645,4,m_bf16,1.1626,0
moe,m_fp8block,32,2,11.317,2,m_bf16,1.0293,0
moe,m_fp8block,32,16,25.058,2,m_bf16,0.879,0
moe,m_fp8block,32,32,58.452,4,m_bf16,0.9261,0
moe,m_fp8marlin,4,2,7.279,4,m_bf16,0.9517,0
moe,m_fp8marlin,4,16,9.339,4,m_bf16,0.9938,0
moe,m_fp8marlin,4,32,10.392,4,m_bf16,0.6593,0
moe,m_fp8marlin,8,2,8.104,2,m_bf16,0.9038,0
moe,m_fp8marlin,8,16,12.592,2,m_bf16,0.902,0
moe,m_fp8marlin,8,32,22.727,4,m_bf16,1.345,0
moe,m_fp8marlin,32,2,9.89,2,m_bf16,0.8996,0
moe,m_fp8marlin,32,16,27.574,2,m_bf16,0.9673,0
moe,m_fp8marlin,32,32,58.632,2,m_bf16,0.9289,0
moe,m_kvq,4,2,8.358,2,m_bf16,1.0928,0
moe,m_kvq,4,16,8.696,4,m_bf16,0.9253,0
moe,m_kvq,4,32,10.926,4,m_bf16,0.6931,0
moe,m_kvq,8,2,9.731,2,m_bf16,1.0853,0
moe,m_kvq,8,16,11.553,4,m_bf16,0.8276,0
moe,m_kvq,8,32,14.906,4,m_bf16,0.8822,0
moe,m_kvq,32,2,11.644,2,m_bf16,1.0591,0
moe,m_kvq,32,16,26.874,2,m_bf16,0.9427,0
moe,m_kvq,32,32,44.57,4,m_bf16,0.7061,0
moe,m_localroute,4,2,6.314,4,m_bf16,0.8256,0
moe,m_localroute,4,16,7.834,2,m_bf16,0.8336,0
moe,m_localroute,4,32,12.445,4,m_bf16,0.7895,0
moe,m_localroute,8,2,7.407,2,m_bf16,0.8262,0
moe,m_localroute,8,16,12.116,4,m_bf16,0.868,0
moe,m_localroute,8,32,15.863,4,m_bf16,0.9388,0
moe,m_localroute,32,2,9.31,2,m_bf16,0.8468,0
moe,m_localroute,32,16,20.994,4,m_bf16,0.7365,0
moe,m_localroute,32,32,52.326,4,m_bf16,0.829,0
moe,m_skip50,4,2,5.36,2,m_bf16dummy,0.6365,0
moe,m_skip50,4,16,5.896,4,m_bf16dummy,0.6291,0
moe,m_skip50,4,32,5.87,4,m_bf16dummy,0.4356,0
moe,m_skip50,8,2,5.423,2,m_bf16dummy,0.5728,0
moe,m_skip50,8,16,7.068,2,m_bf16dummy,0.5064,0
moe,m_skip50,8,32,9.993,4,m_bf16dummy,0.4916,0
moe,m_skip50,32,2,7.004,2,m_bf16dummy,0.5555,0
moe,m_skip50,32,16,14.604,2,m_bf16dummy,0.5225,0
moe,m_skip50,32,32,26.621,2,m_bf16dummy,0.444,0
moe,m_skipa2a,4,2,6.023,2,m_bf16,0.7876,0
moe,m_skipa2a,4,16,7.159,4,m_bf16,0.7618,0
moe,m_skipa2a,4,32,11.363,4,m_bf16,0.7208,0
moe,m_skipa2a,8,2,6.826,2,m_bf16,0.7613,0
moe,m_skipa2a,8,16,9.982,2,m_bf16,0.7151,0
moe,m_skipa2a,8,32,17.401,4,m_bf16,1.0298,0
moe,m_skipa2a,32,2,9.701,2,m_bf16,0.8824,0
moe,m_skipa2a,32,16,22.951,4,m_bf16,0.8051,0
moe,m_skipa2a,32,32,48.155,2,m_bf16,0.7629,0
moe,m_win128,4,2,7.383,2,m_bf16,0.9654,0
moe,m_win128,4,16,8.296,2,m_bf16,0.8828,0
moe,m_win128,4,32,8.325,2,m_bf16,0.5281,0
moe,m_win128,8,2,8.835,2,m_bf16,0.9854,0
moe,m_win128,8,16,10.652,2,m_bf16,0.7631,0
moe,m_win128,8,32,11.124,2,m_bf16,0.6584,0
moe,m_win128,32,2,11.452,2,m_bf16,1.0417,0
moe,m_win128,32,16,16.271,2,m_bf16,0.5708,0
moe,m_win128,32,32,24.524,2,m_bf16,0.3885,0
moe,m_win,4,2,8.388,4,m_bf16,1.0968,0
moe,m_win,4,16,8.754,2,m_bf16,0.9315,0
moe,m_win,4,32,10.787,2,m_bf16,0.6843,0
moe,m_win,8,2,8.815,2,m_bf16,0.9832,0
moe,m_win,8,16,9.445,2,m_bf16,0.6766,0
moe,m_win,8,32,10.9,2,m_bf16,0.6451,0
moe,m_win,16,8,11.452,2,m_bf16,0.9394,0
moe,m_win,32,2,10.908,2,m_bf16,0.9922,0
moe,m_win,32,16,18.456,2,m_bf16,0.6474,0
moe,m_win,32,32,21.987,2,m_bf16,0.3483,0
