model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
dense,16384,win512,0.9948,0.9912,1152,12
dense,16384,skip50,0.0668,0.0402,1152,12
dense,16384,kvq_fp8,0.9054,0.8873,1152,12
dense,16384,q_int4,0.974,0.964,1152,12
dense,16384,q_fp8,0.9905,0.992,1152,12
moe,16384,win512,0.9896,0.9911,1152,12
mla,16384,win512,0.7951,0.7131,1152,12
moe,16384,skip50,0.1589,0.0955,1152,12
mla,16384,skip50,0.0052,0.0076,1152,12
moe,16384,kvq_fp8,0.9861,0.9858,1152,12
mla,16384,kvq_fp8,0.9931,0.9932,1152,12
moe,16384,lr25,0.7969,0.7901,1152,12
mla,16384,lr25,0.8967,0.8528,1152,12
moe,16384,q_int4,0.98,0.983,1152,12
mla,16384,q_int4,0.9826,0.9835,1152,12
moe,16384,q_fp8,0.9948,0.9951,1152,12
mla,16384,q_fp8,0.9948,0.9941,1152,12
