model,combo,ctx,beta_greedy,overlap_t1,positions,prompts
dense,win512+skip125,2048,0.4708,0.343,992,12
dense,win512+skip125,32768,0.4627,0.3412,1152,12
dense,win512+skip25,2048,0.0907,0.0498,992,12
moe,win512+skip125,2048,0.6892,0.6838,1152,12
dense,win512+skip25,32768,0.1085,0.061,1152,12
dense,win512+kvq_fp8,2048,0.872,0.8716,992,12
dense,win512+kvq_fp8,32768,0.8351,0.8515,1152,12
moe,win512+skip125,32768,0.7083,0.7027,1152,12
dense,win512+q_fp8,2048,0.9768,0.9794,992,12
dense,win512+q_fp8,32768,0.9679,0.9758,1152,12
dense,q_fp8+skip125,2048,0.4617,0.3216,992,12
moe,win512+kvq_fp8,2048,0.9444,0.9551,1152,12
dense,q_fp8+skip125,32768,0.4479,0.3163,1152,12
dense,q_fp8+kvq_fp8,2048,0.753,0.748,992,12
dense,q_fp8+kvq_fp8,32768,0.5964,0.6082,1152,12
moe,win512+kvq_fp8,32768,0.9644,0.967,1152,12
dense,win512+q_int4,2048,0.9254,0.9289,992,12
dense,win512+q_int4,16384,0.9175,0.9214,1152,12
dense,win512+q_int4,32768,0.9262,0.9281,1152,12
moe,win512+lr50,2048,0.8212,0.8223,1152,12
dense,win512+q_int4+kvq_fp8,2048,0.8528,0.8403,992,12
dense,win512+q_int4+kvq_fp8,32768,0.8082,0.813,1152,12
moe,win512+lr50,16384,0.8238,0.8211,1152,12
mla,skip125+lr50,2048,0.9385,0.9034,976,12
moe,win512+lr50,32768,0.8299,0.8289,1152,12
mla,skip125+lr50,32768,0.7465,0.6884,1152,12
moe,skip125+lr50,2048,0.5964,0.578,1152,12
mla,win512+skip125,2048,0.8986,0.7888,976,12
moe,skip125+lr50,32768,0.5929,0.5755,1152,12
mla,win512+skip125,32768,0.6337,0.3558,1152,12
moe,win512+q_fp8,2048,0.9488,0.9599,1152,12
mla,skip125+q_fp8,2048,0.9559,0.8789,976,12
moe,win512+q_fp8,32768,0.9818,0.9778,1152,12
mla,skip125+q_fp8,16384,0.9583,0.8768,1152,12
moe,q_fp8+skip125,2048,0.7075,0.6976,1152,12
moe,q_fp8+skip125,32768,0.7109,0.6997,1152,12
mla,skip125+q_fp8,32768,0.9019,0.8448,1152,12
mla,win512+q_fp8,2048,0.9652,0.9415,976,12
moe,q_fp8+lr50,2048,0.8359,0.8391,1152,12
mla,win512+q_fp8,32768,0.8177,0.71,1152,12
moe,q_fp8+lr50,32768,0.8281,0.8308,1152,12
mla,q_fp8+lr50,2048,0.9959,0.985,976,12
moe,win512+lr50+q_fp8,2048,0.816,0.8204,1152,12
mla,q_fp8+lr50,32768,0.9531,0.9369,1152,12
moe,win512+lr50+q_fp8,16384,0.822,0.8203,1152,12
mla,skip125+q_fp8+lr50,2048,0.9385,0.8995,976,12
moe,win512+lr50+q_fp8,32768,0.829,0.8288,1152,12
mla,skip125+q_fp8+lr50,32768,0.7318,0.67,1152,12
