-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_10(144)_generation_5(35)         0.00%       0.000us         0.00%       0.000us       0.000us     179.394ms        54.22%     179.394ms     179.394ms             1  
                  execute_context_4(59)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us     122.980ms        37.17%     122.980ms     122.980ms             1  
                  execute_context_1(13)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      65.760ms        19.88%      65.760ms      65.760ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      46.067ms        13.92%      46.067ms      82.263us           560  
                                       _vllm_fa3_C::fwd         3.24%      25.508ms         5.30%      41.793ms     135.692us      39.997ms        12.09%      39.997ms     129.860us           308  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      35.546ms        10.74%      35.546ms     158.688us           224  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      27.746ms         8.39%      27.746ms     165.157us           168  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      26.675ms         8.06%      26.675ms      17.642us          1512  
             execute_context_17(249)_generation_15(105)         0.00%       0.000us         0.00%       0.000us       0.000us      22.423ms         6.78%      22.423ms      22.423ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      19.700ms         5.95%      19.700ms      39.088us           504  
                execute_context_0(0)_generation_31(217)         0.00%       0.000us         0.00%       0.000us       0.000us      19.598ms         5.92%      19.598ms      19.598ms             1  
                                               aten::mm         1.52%      12.013ms         3.80%      29.938ms     610.976us      18.116ms         5.48%      18.892ms     385.548us            49  
                execute_context_0(0)_generation_28(196)         0.00%       0.000us         0.00%       0.000us       0.000us      18.076ms         5.46%      18.076ms      18.076ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      17.694ms         5.35%      17.694ms      21.064us           840  
                execute_context_0(0)_generation_19(133)         0.00%       0.000us         0.00%       0.000us       0.000us      16.695ms         5.05%      16.695ms      16.695ms             1  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      14.779ms         4.47%      14.779ms      15.081us           980  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      13.679ms         4.13%      13.679ms      22.206us           616  
