-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       _vllm_fa3_C::fwd         8.74%     108.086ms        18.76%     231.988ms      54.152us     254.766ms        26.60%     254.790ms      59.475us          4284  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     165.997ms        17.33%     165.997ms     197.615us           840  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      77.169ms         8.06%      77.169ms      21.039us          3668  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      75.155ms         7.85%      75.155ms      17.894us          4200  
                                               aten::mm         2.60%      32.142ms         4.66%      57.604ms     357.788us      58.943ms         6.15%      61.996ms     385.069us           161  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      54.887ms         5.73%      54.887ms      39.205us          1400  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      52.554ms         5.49%      52.554ms      62.564us           840  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      52.473ms         5.48%      52.473ms      34.704us          1512  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      51.547ms         5.38%      51.547ms      22.451us          2296  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      44.753ms         4.67%      44.753ms      23.505us          1904  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      39.559ms         4.13%      39.559ms      17.230us          2296  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      34.377ms         3.59%      34.377ms      18.055us          1904  
               execute_context_2(29)_generation_17(119)         0.00%       0.000us         0.00%       0.000us       0.000us      26.404ms         2.76%      26.404ms      26.404ms             1  
               execute_context_2(30)_generation_16(112)         0.00%       0.000us         0.00%       0.000us       0.000us      25.986ms         2.71%      25.986ms      25.986ms             1  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us      23.682ms         2.47%      23.682ms       5.253us          4508  
               execute_context_2(30)_generation_18(126)         0.00%       0.000us         0.00%       0.000us       0.000us      23.153ms         2.42%      23.153ms      23.153ms             1  
                execute_context_2(28)_generation_14(98)         0.00%       0.000us         0.00%       0.000us       0.000us      23.018ms         2.40%      23.018ms      23.018ms             1  
