-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     361.456ms        24.00%     361.456ms      75.936us          4760  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     157.790ms        10.48%     157.790ms      33.149us          4760  
                                       _vllm_fa3_C::fwd         2.14%      34.341ms         3.57%      57.191ms      70.432us     118.189ms         7.85%     118.189ms     145.553us           812  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     115.485ms         7.67%     115.485ms      48.523us          2380  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     109.252ms         7.26%     109.252ms     162.578us           672  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      68.365ms         4.54%      68.365ms      48.832us          1400  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      64.644ms         4.29%      64.644ms       8.992us          7189  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      51.861ms         3.44%      51.861ms      17.640us          2940  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      48.494ms         3.22%      48.494ms      24.055us          2016  
                                               aten::mm         0.92%      14.703ms         1.66%      26.555ms     223.152us      43.530ms         2.89%      44.664ms     375.329us           119  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      40.728ms         2.70%      40.728ms      63.243us           644  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      38.841ms         2.58%      38.841ms      39.633us           980  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      36.152ms         2.40%      36.152ms      31.491us          1148  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      34.580ms         2.30%      34.580ms      17.153us          2016  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      29.222ms         1.94%      29.222ms      23.719us          1232  
               execute_context_4(60)_generation_17(119)         0.00%       0.000us         0.00%       0.000us       0.000us      28.758ms         1.91%      28.758ms      28.758ms             1  
void at::native::vectorized_gather_kernel<16, int>(c...         0.00%       0.000us         0.00%       0.000us       0.000us      24.919ms         1.65%      24.919ms       5.235us          4760  
