-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       _vllm_fa3_C::fwd         4.70%      50.061ms         8.25%      87.810ms      64.002us     143.682ms        14.99%     143.793ms     104.805us          1372  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     131.160ms        13.69%     131.160ms     106.461us          1232  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     102.763ms        10.72%     102.763ms      22.379us          4592  
                 execute_context_1(15)_generation_6(42)         0.00%       0.000us         0.00%       0.000us       0.000us      89.129ms         9.30%      89.129ms      17.826ms             5  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      85.510ms         8.92%      85.510ms      23.492us          3640  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      78.437ms         8.19%      78.437ms      17.081us          4592  
                                               aten::mm         1.38%      14.728ms         1.79%      19.082ms     100.965us      68.955ms         7.20%      69.335ms     366.853us           189  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      65.101ms         6.79%      65.101ms      17.885us          3640  
                      nvjet_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      51.022ms         5.32%      51.022ms     361.860us           141  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      48.717ms         5.08%      48.717ms      27.618us          1764  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      37.382ms         3.90%      37.382ms       9.889us          3780  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      33.639ms         3.51%      33.639ms      57.209us           588  
                     nvjet_tst_192x72_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      32.874ms         3.43%      32.874ms      97.840us           336  
                 execute_context_1(15)_generation_7(49)         0.00%       0.000us         0.00%       0.000us       0.000us      30.276ms         3.16%      30.276ms      15.138ms             2  
                  execute_context_1(15)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us      23.828ms         2.49%      23.828ms      23.828ms             1  
                 execute_context_2(28)_generation_6(42)         0.00%       0.000us         0.00%       0.000us       0.000us      22.596ms         2.36%      22.596ms      11.298ms             2  
                 execute_context_2(30)_generation_6(42)         0.00%       0.000us         0.00%       0.000us       0.000us      22.452ms         2.34%      22.452ms      11.226ms             2  
