-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_6(88)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us     108.490ms        24.91%     108.490ms     108.490ms             1  
                                       _vllm_fa3_C::fwd         3.72%      26.620ms         6.02%      43.100ms      90.545us      90.098ms        20.68%      90.098ms     189.281us           476  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      84.443ms        19.39%      84.443ms     215.416us           392  
                  execute_context_1(13)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      70.892ms        16.28%      70.892ms      70.892ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      43.071ms         9.89%      43.071ms      69.921us           616  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      40.401ms         9.28%      40.401ms      17.814us          2268  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      29.699ms         6.82%      29.699ms      39.284us           756  
                                               aten::mm         2.03%      14.532ms         2.84%      20.321ms     290.303us      25.712ms         5.90%      26.874ms     383.917us            70  
               execute_context_12(174)_generation_7(49)         0.00%       0.000us         0.00%       0.000us       0.000us      25.272ms         5.80%      25.272ms      25.272ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      24.982ms         5.74%      24.982ms      22.305us          1120  
               execute_context_3(44)_generation_23(161)         0.00%       0.000us         0.00%       0.000us       0.000us      23.439ms         5.38%      23.439ms      23.439ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      19.151ms         4.40%      19.151ms      17.099us          1120  
               execute_context_5(73)_generation_19(133)         0.00%       0.000us         0.00%       0.000us       0.000us      18.393ms         4.22%      18.393ms      18.393ms             1  
               execute_context_2(30)_generation_21(147)         0.00%       0.000us         0.00%       0.000us       0.000us      17.930ms         4.12%      17.930ms      17.930ms             1  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      17.340ms         3.98%      17.340ms      12.386us          1400  
                execute_context_3(43)_generation_12(84)         0.00%       0.000us         0.00%       0.000us       0.000us      15.639ms         3.59%      15.639ms      15.639ms             1  
                  execute_context_0(0)_generation_9(63)         0.00%       0.000us         0.00%       0.000us       0.000us      12.994ms         2.98%      12.994ms      12.994ms             1  
