arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,155.4,2.65
k2,2,4,2000,612.4,2.835
k2,2,8,2000,1125.5,2.85
k2,2,16,2000,2013.3,2.869
k2,2,32,2000,3086.7,2.874
k2,2,64,2000,4288.5,2.863
k2,2,128,2000,5255.3,2.869
k2,2,1,8000,163.9,2.839
k2,2,4,8000,548.4,2.865
k2,2,8,8000,837.0,2.852
k2,2,16,8000,1263.1,2.865
k2,2,32,8000,1611.2,2.861
k2,2,1,14000,157.2,2.857
k2,2,4,14000,449.7,2.85
k2,2,8,14000,691.2,2.85
k2,2,16,14000,930.7,2.881
k4,4,1,2000,151.3,4.184
k4,4,4,2000,576.2,4.496
k4,4,8,2000,1025.2,4.413
k4,4,16,2000,1759.8,4.481
k4,4,32,2000,2709.0,4.497
k4,4,64,2000,3830.8,4.477
k4,4,128,2000,4616.2,4.509
k4,4,1,8000,153.6,4.444
k4,4,4,8000,488.5,4.543
k4,4,8,8000,740.0,4.545
k4,4,16,8000,1167.5,4.567
k4,4,32,8000,1458.1,4.519
k4,4,1,14000,155.3,4.657
k4,4,4,14000,392.8,4.4
k4,4,8,14000,625.6,4.516
k4,4,16,14000,856.0,4.535
k6,6,1,2000,138.4,5.3
k6,6,4,2000,522.4,5.927
k6,6,8,2000,981.2,6.105
k6,6,16,2000,1607.7,5.93
k6,6,32,2000,2363.1,5.987
k6,6,64,2000,3372.5,5.958
k6,6,128,2000,4196.3,6.007
k6,6,1,8000,150.2,6.192
k6,6,4,8000,439.3,5.972
k6,6,8,8000,670.0,5.972
k6,6,16,8000,1043.8,6.039
k6,6,32,8000,1330.6,5.972
k6,6,1,14000,147.0,6.308
k6,6,4,14000,390.0,6.106
k6,6,8,14000,584.2,6.01
k6,6,16,14000,775.0,6.061
