arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,166.8,2.963
k2,2,4,2000,623.0,2.949
k2,2,8,2000,1202.0,2.97
k2,2,16,2000,2027.2,2.975
k2,2,32,2000,3326.8,2.97
k2,2,64,2000,4829.0,2.974
k2,2,128,2000,5887.7,2.971
k2,2,1,8000,164.5,3.0
k2,2,4,8000,550.4,2.998
k2,2,8,8000,932.5,2.993
k2,2,16,8000,1359.1,2.977
k2,2,32,8000,1804.6,2.978
k2,2,1,14000,162.6,3.0
k2,2,4,14000,501.5,2.99
k2,2,8,14000,754.2,2.978
k2,2,16,14000,1013.3,2.983
k4,4,1,2000,170.0,5.0
k4,4,4,2000,625.7,4.915
k4,4,8,2000,1147.5,4.886
k4,4,16,2000,1967.7,4.891
k4,4,32,2000,3181.2,4.931
k4,4,64,2000,4579.6,4.92
k4,4,128,2000,5555.2,4.913
k4,4,1,8000,161.4,4.848
k4,4,4,8000,538.3,4.899
k4,4,8,8000,905.8,4.933
k4,4,16,8000,1319.5,4.906
k4,4,32,8000,1747.8,4.927
k4,4,1,14000,158.7,4.969
k4,4,4,14000,475.7,4.899
k4,4,8,14000,705.9,4.855
k4,4,16,14000,978.2,4.943
k6,6,1,2000,160.1,6.75
k6,6,4,2000,600.2,6.799
k6,6,8,2000,1152.8,6.845
k6,6,16,2000,1863.5,6.797
k6,6,32,2000,2959.8,6.82
k6,6,64,2000,4156.5,6.843
k6,6,128,2000,5112.3,6.823
k6,6,1,8000,161.9,6.957
k6,6,4,8000,529.7,6.862
k6,6,8,8000,875.6,6.865
k6,6,16,8000,1260.4,6.821
k6,6,32,8000,1652.9,6.806
k6,6,1,14000,150.5,6.833
k6,6,4,14000,486.8,6.902
k6,6,8,14000,720.4,6.916
k6,6,16,14000,944.8,6.859
