arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,164.2,2.927
k2,2,4,2000,495.6,2.898
k2,2,8,2000,875.0,2.891
k2,2,16,2000,1572.7,2.886
k2,2,32,2000,2798.1,2.891
k2,2,64,2000,4774.5,2.893
k2,2,1,8000,155.1,2.963
k2,2,4,8000,472.4,2.905
k2,2,8,8000,868.0,2.882
k2,2,16,8000,1396.4,2.829
k2,2,1,14000,173.3,2.891
k2,2,4,14000,478.9,2.886
k2,2,8,14000,835.5,2.869
k2,2,16,14000,1394.4,2.891
k4,4,1,2000,143.5,4.765
k4,4,4,2000,483.1,4.467
k4,4,8,2000,851.4,4.677
k4,4,16,2000,1547.1,4.67
k4,4,32,2000,2808.4,4.647
k4,4,64,2000,4700.6,4.645
k4,4,1,8000,151.8,4.848
k4,4,4,8000,522.5,4.628
k4,4,8,8000,814.0,4.512
k4,4,16,8000,1315.5,4.373
k4,4,1,14000,140.8,4.5
k4,4,4,14000,486.4,4.626
k4,4,8,14000,767.6,4.57
k4,4,16,14000,1297.7,4.625
k6,6,1,2000,140.4,6.833
k6,6,4,2000,428.3,5.867
k6,6,8,2000,771.8,6.286
k6,6,16,2000,1177.9,6.323
k6,6,32,2000,2603.6,6.196
k6,6,64,2000,4270.5,6.26
k6,6,1,8000,146.2,6.678
k6,6,4,8000,458.7,6.162
k6,6,8,8000,794.4,6.16
k6,6,16,8000,1246.9,5.796
k6,6,1,14000,135.6,5.926
k6,6,4,14000,435.1,6.057
k6,6,8,14000,703.2,6.034
k6,6,16,14000,1252.9,6.208
