arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,152.6,2.927
k2,2,4,2000,461.1,2.958
k2,2,8,2000,840.8,2.995
k2,2,16,2000,1449.1,2.979
k2,2,32,2000,2602.3,2.981
k2,2,64,2000,2610.6,2.974
k2,2,1,8000,155.6,3.0
k2,2,4,8000,459.8,2.986
k2,2,8,8000,814.7,2.988
k2,2,16,8000,812.8,2.977
k2,2,1,14000,101.4,3.0
k2,2,4,14000,457.0,2.986
k2,2,8,14000,494.5,2.977
k2,2,16,14000,603.4,2.973
k4,4,1,2000,133.7,4.735
k4,4,4,2000,480.7,4.885
k4,4,8,2000,812.9,4.927
k4,4,16,2000,1428.1,4.934
k4,4,32,2000,2569.9,4.927
k4,4,64,2000,4493.7,4.923
k4,4,1,8000,142.3,5.0
k4,4,4,8000,489.5,4.953
k4,4,8,8000,796.6,4.941
k4,4,16,8000,1334.5,4.887
k4,4,1,14000,145.8,5.0
k4,4,4,14000,475.1,4.953
k4,4,8,14000,776.8,4.921
k4,4,16,14000,1285.4,4.913
k6,6,1,2000,129.2,6.913
k6,6,4,2000,445.1,6.819
k6,6,8,2000,790.3,6.93
k6,6,16,2000,1377.1,6.84
k6,6,32,2000,2523.6,6.871
k6,6,64,2000,4264.2,6.836
k6,6,1,8000,131.5,7.0
k6,6,4,8000,447.7,6.882
k6,6,8,8000,726.5,6.812
k6,6,16,8000,1283.7,6.801
k6,6,1,14000,130.9,7.0
k6,6,4,14000,437.6,6.839
k6,6,8,14000,719.3,6.809
k6,6,16,14000,1232.0,6.84
