arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,150.0,2.807
k2,2,4,2000,500.2,2.819
k2,2,8,2000,923.9,2.909
k2,2,16,2000,1609.2,2.885
k2,2,32,2000,2842.8,2.879
k2,2,64,2000,4611.1,2.867
k2,2,1,8000,161.1,2.927
k2,2,4,8000,526.2,2.908
k2,2,8,8000,905.1,2.9
k2,2,16,8000,1458.6,2.886
k2,2,1,14000,160.3,2.963
k2,2,4,14000,501.4,2.872
k2,2,8,14000,847.0,2.89
k4,4,1,2000,132.4,4.378
k4,4,4,2000,370.7,4.354
k4,4,8,2000,697.0,4.596
k4,4,16,2000,1421.0,4.508
k4,4,32,2000,2651.6,4.535
k4,4,64,2000,4186.1,4.509
k4,4,1,8000,147.7,4.765
k4,4,4,8000,503.9,4.662
k4,4,8,8000,844.5,4.712
k4,4,16,8000,1389.8,4.616
k4,4,1,14000,145.9,5.0
k4,4,4,14000,494.0,4.654
k4,4,8,14000,801.9,4.623
k6,6,1,2000,104.9,5.258
k6,6,4,2000,405.6,5.69
k6,6,8,2000,816.7,6.063
k6,6,16,2000,1374.7,6.074
k6,6,32,2000,2589.3,6.122
k6,6,64,2000,4228.3,6.092
k6,6,1,8000,141.5,6.56
k6,6,4,8000,460.9,6.284
k6,6,8,8000,736.5,6.314
k6,6,16,8000,1300.0,6.208
k6,6,1,14000,148.9,6.833
k6,6,4,14000,453.1,6.245
k6,6,8,14000,778.4,6.375
