arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,149.0,2.944
k2,2,4,2000,417.1,2.972
k2,2,8,2000,731.4,2.97
k2,2,16,2000,1436.5,2.968
k2,2,32,2000,2594.4,2.968
k2,2,64,2000,4542.8,2.966
k2,2,1,8000,162.4,3.0
k2,2,4,8000,498.6,2.963
k2,2,8,8000,856.7,2.964
k2,2,16,8000,1385.6,2.977
k2,2,1,14000,111.6,3.0
k2,2,4,14000,426.6,2.958
k2,2,8,14000,828.5,2.981
k4,4,1,2000,140.0,4.629
k4,4,4,2000,480.3,4.864
k4,4,8,2000,843.5,4.92
k4,4,16,2000,1439.5,4.936
k4,4,32,2000,2558.6,4.9
k4,4,64,2000,4077.0,4.874
k4,4,1,8000,103.9,4.909
k4,4,4,8000,393.8,4.922
k4,4,8,8000,768.1,4.903
k4,4,16,8000,1380.7,4.913
k4,4,1,14000,106.2,5.0
k4,4,4,14000,399.3,4.945
k4,4,8,14000,788.2,4.909
k6,6,1,2000,136.3,6.154
k6,6,4,2000,462.7,6.673
k6,6,8,2000,819.9,6.877
k6,6,16,2000,1472.4,6.805
k6,6,32,2000,2487.5,6.721
k6,6,64,2000,4368.9,6.765
k6,6,1,8000,149.8,6.875
k6,6,4,8000,478.8,6.851
k6,6,8,8000,814.3,6.842
k6,6,16,8000,1284.0,6.797
k6,6,1,14000,140.9,7.0
k6,6,4,14000,463.0,6.734
k6,6,8,14000,769.2,6.772
