arm,K,batch,ctx,decode_toks,accept
off,0,1,2000,149.7,0.0
off,0,8,2000,1072.0,0.0
off,0,16,2000,1883.0,0.0
off,0,32,2000,3168.2,0.0
off,0,1,8000,146.4,0.0
off,0,8,8000,831.5,0.0
off,0,16,8000,1242.0,0.0
off,0,32,8000,1687.1,0.0
off,0,1,14000,140.0,0.0
off,0,8,14000,672.4,0.0
off,0,16,14000,932.1,0.0
k4,4,1,2000,147.6,4.094
k4,4,8,2000,1079.7,4.403
k4,4,16,2000,1725.3,4.347
k4,4,32,2000,2964.5,4.34
k4,4,1,8000,142.8,3.909
k4,4,8,8000,891.2,4.438
k4,4,16,8000,1460.3,4.43
k4,4,32,8000,2038.9,4.374
k4,4,1,14000,153.6,4.333
k4,4,8,14000,701.7,4.308
k4,4,16,14000,1156.0,4.385
k6,6,1,2000,148.6,5.4
k6,6,8,2000,1019.5,5.723
k6,6,16,2000,1493.5,5.441
k6,6,32,2000,2541.7,5.766
k6,6,1,8000,120.4,4.467
k6,6,8,8000,799.8,5.573
k6,6,16,8000,1403.5,5.694
k6,6,32,8000,2013.5,5.568
k6,6,1,14000,146.4,5.833
k6,6,8,14000,847.7,6.162
k6,6,16,14000,1232.0,6.059
