arm,K,batch,ctx,decode_toks,accept
off,0,1,2000,72.9,0.0
off,0,8,2000,555.7,0.0
off,0,16,2000,1040.6,0.0
off,0,1,8000,72.0,0.0
off,0,8,8000,488.5,0.0
off,0,16,8000,814.0,0.0
off,0,1,14000,71.0,0.0
off,0,8,14000,438.2,0.0
k4,4,1,2000,74.9,4.821
k4,4,8,2000,515.1,4.524
k4,4,16,2000,923.1,4.505
k4,4,1,8000,61.0,3.818
k4,4,8,8000,450.9,4.31
k4,4,16,8000,875.2,4.379
k4,4,1,14000,70.4,4.4
k4,4,8,14000,502.5,4.467
k5,5,1,2000,72.9,5.36
k5,5,8,2000,510.3,5.279
k5,5,16,2000,918.0,5.305
k5,5,1,8000,56.9,3.969
k5,5,8,8000,425.2,4.893
k5,5,16,8000,884.1,5.066
k5,5,1,14000,69.6,4.926
k5,5,8,14000,535.0,5.327
