arm,K,batch,ctx,decode_toks,accept
off,0,1,2000,148.5,0.0
off,0,8,2000,1061.8,0.0
off,0,16,2000,1888.9,0.0
off,0,32,2000,3166.4,0.0
off,0,1,8000,145.6,0.0
off,0,8,8000,823.0,0.0
off,0,16,8000,1241.8,0.0
off,0,32,8000,1685.5,0.0
off,0,1,14000,140.4,0.0
off,0,8,14000,671.3,0.0
off,0,16,14000,925.4,0.0
k2,2,1,2000,188.9,2.785
k2,2,8,2000,1282.6,2.824
k2,2,16,2000,1967.0,2.775
k2,2,32,2000,3334.5,2.817
k2,2,1,8000,153.8,2.239
k2,2,8,8000,1021.5,2.761
k2,2,16,8000,1811.3,2.827
k2,2,32,8000,2616.5,2.801
k2,2,1,14000,183.5,2.744
k2,2,8,14000,1040.4,2.845
k2,2,16,14000,1547.1,2.835
k3,3,1,2000,189.0,3.6
k3,3,8,2000,1321.6,3.658
k3,3,16,2000,2004.6,3.603
k3,3,32,2000,3272.5,3.591
k3,3,1,8000,139.6,2.581
k3,3,8,8000,991.8,3.596
k3,3,16,8000,1784.4,3.643
k3,3,32,8000,2713.7,3.591
k3,3,1,14000,178.7,3.29
k3,3,8,14000,1154.0,3.8
k3,3,16,14000,1632.0,3.628
k4,4,1,2000,194.8,4.253
k4,4,8,2000,1242.7,4.417
k4,4,16,2000,1773.1,4.271
k4,4,32,2000,3275.7,4.4
k4,4,1,8000,141.5,3.137
k4,4,8,8000,975.6,4.248
k4,4,16,8000,1851.0,4.415
k4,4,32,8000,2741.1,4.381
k4,4,1,14000,199.2,4.5
k4,4,8,14000,1111.7,4.635
k4,4,16,14000,1778.1,4.6
k6,6,1,2000,186.1,5.722
k6,6,8,2000,1083.6,5.825
k6,6,16,2000,1411.3,5.44
k6,6,32,2000,2627.7,5.719
k6,6,1,8000,108.8,3.327
k6,6,8,8000,889.1,5.723
k6,6,16,8000,1519.6,5.861
k6,6,32,8000,2307.3,5.641
k6,6,1,14000,160.0,4.861
k6,6,8,14000,1074.8,6.118
k6,6,16,14000,1612.2,5.834
