arm,K,batch,ctx,decode_toks,accept
off,0,1,2000,148.6,0.0
off,0,8,2000,1061.3,0.0
off,0,16,2000,1905.6,0.0
off,0,32,2000,3176.3,0.0
off,0,1,8000,146.3,0.0
off,0,8,8000,821.2,0.0
off,0,16,8000,1237.8,0.0
off,0,32,8000,1699.8,0.0
off,0,1,14000,144.2,0.0
off,0,8,14000,687.9,0.0
off,0,16,14000,934.5,0.0
k2,2,1,2000,166.3,2.789
k2,2,8,2000,1122.4,2.78
k2,2,16,2000,1833.3,2.737
k2,2,32,2000,3150.5,2.774
k2,2,1,8000,136.1,2.3
k2,2,8,8000,952.2,2.739
k2,2,16,8000,1735.6,2.801
k2,2,32,8000,2363.6,2.764
k2,2,1,14000,159.9,2.712
k2,2,8,14000,947.0,2.845
k2,2,16,14000,1471.0,2.85
k3,3,1,2000,160.2,3.522
k3,3,8,2000,1113.5,3.572
k3,3,16,2000,1750.9,3.517
k3,3,32,2000,3347.0,3.551
k3,3,1,8000,122.0,2.656
k3,3,8,8000,895.8,3.503
k3,3,16,8000,1731.6,3.527
k3,3,32,8000,2639.5,3.55
k3,3,1,14000,165.7,3.533
k3,3,8,14000,947.3,3.692
k3,3,16,14000,1432.5,3.641
k4,4,1,2000,152.4,4.128
k4,4,8,2000,1018.2,4.215
k4,4,16,2000,1559.9,4.148
k4,4,32,2000,2672.8,4.267
k4,4,1,8000,118.6,3.137
k4,4,8,8000,862.5,4.256
k4,4,16,8000,1577.6,4.386
k4,4,32,8000,2394.5,4.253
k4,4,1,14000,160.8,4.103
k4,4,8,14000,901.8,4.402
k4,4,16,14000,1501.2,4.305
