model,ctx,arm,beta_greedy,overlap_t1,positions,prompts,round
dense,16384,ig_2-5,0.8958,0.8959,1152,12,2
dense,16384,ig_5-6,0.9036,0.9,1152,12,2
dense,16384,ig_4-5,0.908,0.905,1152,12,2
dense,16384,ig_3-5,0.901,0.9048,1152,12,2
dense,16384,ig_5-12,0.895,0.8947,1152,12,2
dense,16384,ig_5-7,0.8872,0.8924,1152,12,2
dense,16384,ig_5-11,0.8906,0.8944,1152,12,2
dense,16384,ig_5-8,0.8898,0.8931,1152,12,2
dense,16384,ig_4-5-6,0.8689,0.8659,1152,12,3
dense,16384,ig_3-4-5,0.8602,0.8696,1152,12,3
dense,16384,ig_2-4-5,0.855,0.8565,1152,12,3
dense,16384,ig_4-5-12,0.8585,0.8597,1152,12,3
dense,16384,ig_4-5-11,0.8576,0.8605,1152,12,3
dense,16384,ig_4-5-8,0.8498,0.8576,1152,12,3
dense,16384,ig_4-5-7,0.8464,0.8542,1152,12,3
dense,16384,ig_3-4-5-6,0.8168,0.8214,1152,12,4
dense,16384,ig_4-5-6-12,0.8125,0.8143,1152,12,4
dense,16384,ig_4-5-6-11,0.8168,0.8155,1152,12,4
dense,16384,ig_2-4-5-6,0.8142,0.8077,1152,12,4
dense,16384,ig_4-5-6-8,0.8116,0.8071,1152,12,4
dense,16384,ig_4-5-6-7,0.7925,0.7992,1152,12,4
dense,16384,ig_3-4-5-6-11,0.7526,0.7632,1152,12,5
dense,16384,ig_2-3-4-5-6,0.7578,0.7471,1152,12,5
dense,16384,ig_3-4-5-6-12,0.7613,0.7619,1152,12,5
dense,16384,ig_3-4-5-6-8,0.7413,0.7416,1152,12,5
dense,16384,ig_3-4-5-6-7,0.7274,0.7393,1152,12,5
dense,16384,ig_2-3-4-5-6-12,0.645,0.6384,1152,12,6
dense,16384,ig_3-4-5-6-11-12,0.6589,0.6555,1152,12,6
dense,16384,ig_3-4-5-6-8-12,0.6432,0.6366,1152,12,6
dense,16384,ig_3-4-5-6-7-12,0.6311,0.632,1152,12,6
dense,16384,ig_2-3-4-5-6-11-12,0.5451,0.5463,1152,12,7
dense,16384,ig_3-4-5-6-8-11-12,0.5469,0.5474,1152,12,7
dense,16384,ig_3-4-5-6-7-11-12,0.5573,0.5394,1152,12,7
