model,ctx,arm,beta_greedy,overlap_t1,positions,prompts,round
moe,16384,ig_2,0.9505,0.9547,1152,12,1
moe,16384,ig_3,0.9514,0.9516,1152,12,1
moe,16384,ig_4,0.9549,0.956,1152,12,1
moe,16384,ig_5,0.9566,0.9551,1152,12,1
moe,16384,ig_6,0.9531,0.9551,1152,12,1
moe,16384,ig_7,0.9531,0.9548,1152,12,1
moe,16384,ig_8,0.9514,0.955,1152,12,1
moe,16384,ig_9,0.9575,0.9574,1152,12,1
moe,16384,ig_10,0.9575,0.9569,1152,12,1
moe,16384,ig_11,0.9575,0.9557,1152,12,1
moe,16384,ig_12,0.9557,0.9558,1152,12,1
moe,16384,ig_13,0.9575,0.9565,1152,12,1
moe,16384,ig_14,0.9557,0.9544,1152,12,1
moe,16384,ig_15,0.9592,0.9562,1152,12,1
moe,16384,ig_16,0.9557,0.9539,1152,12,1
moe,16384,ig_17,0.9583,0.9535,1152,12,1
moe,16384,ig_18,0.9531,0.9541,1152,12,1
moe,16384,ig_19,0.9488,0.949,1152,12,1
moe,16384,ig_20,0.9462,0.9509,1152,12,1
moe,16384,ig_21,0.9549,0.955,1152,12,1
moe,16384,ig_22,0.9523,0.9533,1152,12,1
moe,16384,ig_23,0.9514,0.9521,1152,12,1
moe,16384,ig_24,0.954,0.9533,1152,12,1
moe,16384,ig_25,0.9479,0.9501,1152,12,1
moe,16384,ig_26,0.9479,0.9491,1152,12,1
moe,16384,ig_27,0.954,0.9475,1152,12,1
moe,16384,ig_28,0.9453,0.9481,1152,12,1
moe,16384,ig_29,0.9444,0.9462,1152,12,1
moe,16384,ig_30,0.9366,0.9424,1152,12,1
moe,16384,ig_31,0.9479,0.9461,1152,12,1
moe,16384,ig_32,0.9401,0.9439,1152,12,1
moe,16384,ig_33,0.9418,0.9451,1152,12,1
moe,16384,ig_34,0.9453,0.9465,1152,12,1
moe,16384,ig_35,0.9488,0.9474,1152,12,1
moe,16384,ig_36,0.9453,0.9425,1152,12,1
moe,16384,ig_37,0.9219,0.9339,1152,12,1
moe,16384,ig_38,0.921,0.9237,1152,12,1
moe,16384,ig_39,0.928,0.9251,1152,12,1
moe,16384,ig_40,0.9149,0.9178,1152,12,1
moe,16384,ig_41,0.9036,0.9032,1152,12,1
moe,16384,ig_42,0.9054,0.9046,1152,12,1
moe,16384,ig_43,0.9271,0.9204,1152,12,1
moe,16384,ig_44,0.9184,0.9244,1152,12,1
moe,16384,ig_45,0.9323,0.9301,1152,12,1
moe,16384,ig_15-17,0.928,0.924,1152,12,2
moe,16384,ig_9-15,0.9349,0.9242,1152,12,2
moe,16384,ig_10-15,0.9314,0.9228,1152,12,2
moe,16384,ig_11-15,0.9297,0.924,1152,12,2
moe,16384,ig_13-15,0.9332,0.9256,1152,12,2
moe,16384,ig_5-15,0.9262,0.9229,1152,12,2
moe,16384,ig_12-15,0.9306,0.9246,1152,12,2
moe,16384,ig_14-15,0.9314,0.9223,1152,12,2
moe,16384,ig_9-13-15,0.9167,0.9069,1152,12,3
moe,16384,ig_9-10-15,0.9149,0.9053,1152,12,3
moe,16384,ig_9-14-15,0.908,0.9019,1152,12,3
moe,16384,ig_9-12-15,0.9158,0.9053,1152,12,3
moe,16384,ig_9-11-15,0.9149,0.9047,1152,12,3
moe,16384,ig_9-15-17,0.9097,0.9056,1152,12,3
moe,16384,ig_5-9-15,0.9141,0.9058,1152,12,3
moe,16384,ig_9-12-13-15,0.8915,0.8796,1152,12,4
moe,16384,ig_9-10-13-15,0.8976,0.8806,1152,12,4
moe,16384,ig_9-11-13-15,0.888,0.8797,1152,12,4
moe,16384,ig_5-9-13-15,0.8898,0.8803,1152,12,4
moe,16384,ig_9-13-15-17,0.8941,0.8791,1152,12,4
moe,16384,ig_9-13-14-15,0.8941,0.8779,1152,12,4
moe,16384,ig_9-10-13-15-17,0.8585,0.8484,1152,12,5
moe,16384,ig_9-10-13-14-15,0.8637,0.8485,1152,12,5
moe,16384,ig_9-10-12-13-15,0.8689,0.8506,1152,12,5
moe,16384,ig_5-9-10-13-15,0.8672,0.8512,1152,12,5
moe,16384,ig_9-10-11-13-15,0.8655,0.851,1152,12,5
moe,16384,ig_5-9-10-12-13-15,0.7352,0.7197,1152,12,6
moe,16384,ig_9-10-11-12-13-15,0.7378,0.7247,1152,12,6
moe,16384,ig_9-10-12-13-14-15,0.7387,0.7238,1152,12,6
moe,16384,ig_9-10-12-13-15-17,0.7422,0.7307,1152,12,6
moe,16384,ig_9-10-12-13-14-15-17,0.6832,0.6316,1152,12,7
moe,16384,ig_9-10-11-12-13-15-17,0.6823,0.6338,1152,12,7
moe,16384,ig_5-9-10-12-13-15-17,0.6771,0.6248,1152,12,7
