model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
q3_32b,16384,win512,0.9714,0.9707,1152,12
q3_32b,16384,win128,0.9609,0.9644,1152,12
q3_32b,16384,kvq_fp8,0.9878,0.988,1152,12
q3_32b,16384,skip125,0.6589,0.6411,1152,12
q3_32b,16384,skip25,0.2352,0.2082,1152,12
q3_32b,16384,q_fp8,0.9922,0.9904,1152,12
q3_32b,16384,q_int4,0.8394,0.8552,1152,12
q3_32b,16384,ig_2,0.974,0.9584,576,6
q3_32b,16384,ig_3,0.9705,0.9578,576,6
q3_32b,16384,ig_4,0.9757,0.9592,576,6
q3_32b,16384,ig_5,0.974,0.9587,576,6
q3_32b,16384,ig_6,0.9688,0.9578,576,6
q3_32b,16384,ig_7,0.974,0.9577,576,6
q3_32b,16384,ig_8,0.9722,0.9578,576,6
q3_32b,16384,ig_9,0.9705,0.9571,576,6
q3_32b,16384,ig_10,0.9722,0.9586,576,6
q3_32b,16384,ig_11,0.9722,0.957,576,6
q3_32b,16384,ig_12,0.9705,0.958,576,6
q3_32b,16384,ig_13,0.967,0.9576,576,6
q3_32b,16384,ig_14,0.9688,0.9575,576,6
q3_32b,16384,ig_15,0.974,0.9593,576,6
q3_32b,16384,ig_16,0.9757,0.9589,576,6
q3_32b,16384,ig_17,0.9757,0.9572,576,6
q3_32b,16384,ig_18,0.9688,0.9585,576,6
q3_32b,16384,ig_19,0.9688,0.9583,576,6
q3_32b,16384,ig_20,0.974,0.9579,576,6
q3_32b,16384,ig_21,0.9722,0.9574,576,6
q3_32b,16384,ig_22,0.9653,0.9564,576,6
q3_32b,16384,ig_23,0.9653,0.9573,576,6
q3_32b,16384,ig_24,0.967,0.9558,576,6
q3_32b,16384,ig_25,0.9688,0.958,576,6
q3_32b,16384,ig_26,0.9757,0.9554,576,6
q3_32b,16384,ig_27,0.9688,0.9552,576,6
q3_32b,16384,ig_28,0.9601,0.9562,576,6
q3_32b,16384,ig_29,0.9722,0.9563,576,6
q3_32b,16384,ig_30,0.9722,0.9556,576,6
q3_32b,16384,ig_31,0.9653,0.9553,576,6
q3_32b,16384,ig_32,0.9688,0.9543,576,6
q3_32b,16384,ig_33,0.9722,0.957,576,6
q3_32b,16384,ig_34,0.974,0.9567,576,6
q3_32b,16384,ig_35,0.9705,0.9567,576,6
q3_32b,16384,ig_36,0.9705,0.9595,576,6
q3_32b,16384,ig_37,0.9635,0.955,576,6
q3_32b,16384,ig_38,0.9618,0.9539,576,6
q3_32b,16384,ig_39,0.967,0.9509,576,6
q3_32b,16384,ig_40,0.9549,0.9518,576,6
q3_32b,16384,ig_41,0.9566,0.9501,576,6
q3_32b,16384,ig_42,0.9514,0.9517,576,6
q3_32b,16384,ig_43,0.9566,0.9511,576,6
q3_32b,16384,ig_44,0.9497,0.9459,576,6
q3_32b,16384,ig_45,0.9427,0.9435,576,6
q3_32b,16384,ig_46,0.9566,0.9453,576,6
q3_32b,16384,ig_47,0.9479,0.9443,576,6
q3_32b,16384,ig_48,0.9531,0.9447,576,6
q3_32b,16384,ig_49,0.9375,0.9348,576,6
q3_32b,16384,ig_50,0.9375,0.931,576,6
q3_32b,16384,ig_51,0.9392,0.9292,576,6
q3_32b,16384,ig_52,0.9497,0.9329,576,6
q3_32b,16384,ig_53,0.9288,0.9172,576,6
q3_32b,16384,ig_54,0.934,0.9303,576,6
q3_32b,16384,ig_55,0.9323,0.9249,576,6
q3_32b,16384,ig_56,0.9167,0.9123,576,6
q3_32b,16384,ig_57,0.9132,0.9182,576,6
q3_32b,16384,ig_58,0.9462,0.9375,576,6
q3_32b,16384,ig_59,0.9323,0.9275,576,6
q3_32b,16384,ig_60,0.9479,0.9349,576,6
q3_32b,16384,ig_61,0.9479,0.9327,576,6
q3_32b,16384,igs_4-16,0.9497,0.9304,1152,12
q3_32b,16384,igs_4-17,0.9497,0.9289,1152,12
q3_32b,16384,igs_4-26,0.9436,0.9255,1152,12
q3_32b,16384,igs_2-4,0.947,0.9273,1152,12
q3_32b,16384,igs_4-5,0.9497,0.9263,1152,12
q3_32b,16384,igs_4-7,0.954,0.9297,1152,12
q3_32b,16384,igs_4-15,0.9444,0.9288,1152,12
q3_32b,16384,igs_4-20,0.9444,0.9289,1152,12
q3_32b,16384,igs_4-7-16,0.9123,0.8988,1152,12
q3_32b,16384,igs_4-7-17,0.9115,0.8994,1152,12
q3_32b,16384,igs_4-5-7,0.9028,0.8918,1152,12
q3_32b,16384,igs_2-4-7,0.908,0.8968,1152,12
q3_32b,16384,igs_4-7-15,0.9097,0.8971,1152,12
q3_32b,16384,igs_4-7-20,0.9089,0.8966,1152,12
q3_32b,16384,igs_4-7-26,0.8993,0.8919,1152,12
q3_32b,16384,igs_4-7-16-17,0.8915,0.8703,1152,12
q3_32b,16384,igs_4-7-15-16,0.888,0.8726,1152,12
q3_32b,16384,igs_4-7-16-20,0.8906,0.8733,1152,12
q3_32b,16384,igs_2-4-7-16,0.8924,0.8726,1152,12
q3_32b,16384,igs_4-5-7-16,0.8898,0.8687,1152,12
q3_32b,16384,igs_4-7-16-26,0.8811,0.8696,1152,12
q3_32b,16384,igs_2-4-7-16-17,0.8316,0.8281,1152,12
q3_32b,16384,igs_2-4-7-16-20,0.829,0.829,1152,12
q3_32b,16384,igs_2-4-5-7-16,0.8333,0.8266,1152,12
q3_32b,16384,igs_2-4-7-15-16,0.8299,0.8285,1152,12
q3_32b,16384,igs_2-4-7-16-26,0.8255,0.8251,1152,12
q3_32b,16384,igs_2-4-5-7-16-17,0.7969,0.7955,1152,12
q3_32b,16384,igs_2-4-5-7-15-16,0.7943,0.7934,1152,12
q3_32b,16384,igs_2-4-5-7-16-20,0.8003,0.7917,1152,12
q3_32b,16384,igs_2-4-5-7-16-26,0.7925,0.7916,1152,12
q3_32b,16384,igs_2-4-5-7-16-17-20,0.77,0.7562,1152,12
q3_32b,16384,igs_2-4-5-7-15-16-20,0.7691,0.7499,1152,12
q3_32b,16384,igs_2-4-5-7-16-20-26,0.7656,0.7525,1152,12
