model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
q3_8b,16384,actfp8,0.9922,0.9885,1152,12
q3_8b,16384,w4a8,0.947,0.9536,1152,12
q3_8b,16384,sparse24,0.8281,0.8366,1152,12
q3_8b,16384,s24w4,0.822,0.8309,1152,12
q3_8b,16384,ret_win512,0.8898,0.8877,1152,12
q3_8b,16384,ret_win128,0.8715,0.868,1152,12
q3_8b,16384,ret_kvq_fp8,0.974,0.9847,1152,12
q3_8b,16384,kvq_int4,0.9253,0.9328,1152,12
q3_8b,16384,ffn125,0.9167,0.9106,1152,12
q3_8b,16384,ffn25,0.8733,0.8656,1152,12
q3_8b,16384,ffn375,0.8142,0.8192,1152,12
q3_8b,16384,ffn50,0.7613,0.7663,1152,12
q3_8b,16384,head25,0.8984,0.9087,1152,12
q3_8b,16384,head50,0.8038,0.7976,1152,12
q3_8b,16384,ffn25head25,0.8273,0.8344,1152,12
