model,refs,layer,importance
Qwen/Qwen3-32B,c4,0,0.791043
Qwen/Qwen3-32B,c4,1,0.076070
Qwen/Qwen3-32B,c4,2,0.043428
Qwen/Qwen3-32B,c4,3,0.046481
Qwen/Qwen3-32B,c4,4,0.046654
Qwen/Qwen3-32B,c4,5,0.047717
Qwen/Qwen3-32B,c4,6,0.038311
Qwen/Qwen3-32B,c4,7,0.055535
Qwen/Qwen3-32B,c4,8,0.039417
Qwen/Qwen3-32B,c4,9,0.032796
Qwen/Qwen3-32B,c4,10,0.028203
Qwen/Qwen3-32B,c4,11,0.034369
Qwen/Qwen3-32B,c4,12,0.029405
Qwen/Qwen3-32B,c4,13,0.030236
Qwen/Qwen3-32B,c4,14,0.026278
Qwen/Qwen3-32B,c4,15,0.023589
Qwen/Qwen3-32B,c4,16,0.021925
Qwen/Qwen3-32B,c4,17,0.021652
Qwen/Qwen3-32B,c4,18,0.020513
Qwen/Qwen3-32B,c4,19,0.020747
Qwen/Qwen3-32B,c4,20,0.022091
Qwen/Qwen3-32B,c4,21,0.024848
Qwen/Qwen3-32B,c4,22,0.028722
Qwen/Qwen3-32B,c4,23,0.027771
Qwen/Qwen3-32B,c4,24,0.033167
Qwen/Qwen3-32B,c4,25,0.036170
Qwen/Qwen3-32B,c4,26,0.037459
Qwen/Qwen3-32B,c4,27,0.036921
Qwen/Qwen3-32B,c4,28,0.035392
Qwen/Qwen3-32B,c4,29,0.033245
Qwen/Qwen3-32B,c4,30,0.028150
Qwen/Qwen3-32B,c4,31,0.029906
Qwen/Qwen3-32B,c4,32,0.041696
Qwen/Qwen3-32B,c4,33,0.042599
Qwen/Qwen3-32B,c4,34,0.031848
Qwen/Qwen3-32B,c4,35,0.038770
Qwen/Qwen3-32B,c4,36,0.044628
Qwen/Qwen3-32B,c4,37,0.053451
Qwen/Qwen3-32B,c4,38,0.051427
Qwen/Qwen3-32B,c4,39,0.047396
Qwen/Qwen3-32B,c4,40,0.049820
Qwen/Qwen3-32B,c4,41,0.046193
Qwen/Qwen3-32B,c4,42,0.043295
Qwen/Qwen3-32B,c4,43,0.039059
Qwen/Qwen3-32B,c4,44,0.042647
Qwen/Qwen3-32B,c4,45,0.039936
Qwen/Qwen3-32B,c4,46,0.036392
Qwen/Qwen3-32B,c4,47,0.034429
Qwen/Qwen3-32B,c4,48,0.037218
Qwen/Qwen3-32B,c4,49,0.038487
Qwen/Qwen3-32B,c4,50,0.040324
Qwen/Qwen3-32B,c4,51,0.046533
Qwen/Qwen3-32B,c4,52,0.044025
Qwen/Qwen3-32B,c4,53,0.044967
Qwen/Qwen3-32B,c4,54,0.043586
Qwen/Qwen3-32B,c4,55,0.043472
Qwen/Qwen3-32B,c4,56,0.038730
Qwen/Qwen3-32B,c4,57,0.036490
Qwen/Qwen3-32B,c4,58,0.034582
Qwen/Qwen3-32B,c4,59,0.036568
Qwen/Qwen3-32B,c4,60,0.041116
Qwen/Qwen3-32B,c4,61,0.049788
Qwen/Qwen3-32B,c4,62,0.077500
Qwen/Qwen3-32B,c4,63,0.608421
