model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-32B,c4,0,0,128,0.196346
Qwen/Qwen3-32B,c4,0,0,512,0.129495
Qwen/Qwen3-32B,c4,0,0,2048,0.050474
Qwen/Qwen3-32B,c4,0,1,128,0.219357
Qwen/Qwen3-32B,c4,0,1,512,0.153380
Qwen/Qwen3-32B,c4,0,1,2048,0.058075
Qwen/Qwen3-32B,c4,0,2,128,0.312311
Qwen/Qwen3-32B,c4,0,2,512,0.211124
Qwen/Qwen3-32B,c4,0,2,2048,0.078952
Qwen/Qwen3-32B,c4,0,3,128,0.140073
Qwen/Qwen3-32B,c4,0,3,512,0.064318
Qwen/Qwen3-32B,c4,0,3,2048,0.017478
Qwen/Qwen3-32B,c4,0,4,128,0.157346
Qwen/Qwen3-32B,c4,0,4,512,0.087238
Qwen/Qwen3-32B,c4,0,4,2048,0.024430
Qwen/Qwen3-32B,c4,0,5,128,0.216277
Qwen/Qwen3-32B,c4,0,5,512,0.151155
Qwen/Qwen3-32B,c4,0,5,2048,0.044777
Qwen/Qwen3-32B,c4,0,6,128,0.141237
Qwen/Qwen3-32B,c4,0,6,512,0.082447
Qwen/Qwen3-32B,c4,0,6,2048,0.030629
Qwen/Qwen3-32B,c4,0,7,128,0.250482
Qwen/Qwen3-32B,c4,0,7,512,0.189658
Qwen/Qwen3-32B,c4,0,7,2048,0.079518
Qwen/Qwen3-32B,c4,0,8,128,0.210323
Qwen/Qwen3-32B,c4,0,8,512,0.109142
Qwen/Qwen3-32B,c4,0,8,2048,0.026155
Qwen/Qwen3-32B,c4,0,9,128,0.311303
Qwen/Qwen3-32B,c4,0,9,512,0.108034
Qwen/Qwen3-32B,c4,0,9,2048,0.015635
Qwen/Qwen3-32B,c4,0,10,128,0.870952
Qwen/Qwen3-32B,c4,0,10,512,0.637326
Qwen/Qwen3-32B,c4,0,10,2048,0.247005
Qwen/Qwen3-32B,c4,0,11,128,0.087512
Qwen/Qwen3-32B,c4,0,11,512,0.045960
Qwen/Qwen3-32B,c4,0,11,2048,0.007954
