model,refs,layer,importance
Qwen/Qwen3-8B,cnndm,0,0.658789
Qwen/Qwen3-8B,cnndm,1,0.068246
Qwen/Qwen3-8B,cnndm,2,0.046892
Qwen/Qwen3-8B,cnndm,3,0.063995
Qwen/Qwen3-8B,cnndm,4,0.082255
Qwen/Qwen3-8B,cnndm,5,0.081479
Qwen/Qwen3-8B,cnndm,6,0.078423
Qwen/Qwen3-8B,cnndm,7,0.069025
Qwen/Qwen3-8B,cnndm,8,0.088773
Qwen/Qwen3-8B,cnndm,9,0.090395
Qwen/Qwen3-8B,cnndm,10,0.089456
Qwen/Qwen3-8B,cnndm,11,0.077154
Qwen/Qwen3-8B,cnndm,12,0.076307
Qwen/Qwen3-8B,cnndm,13,0.065444
Qwen/Qwen3-8B,cnndm,14,0.062613
Qwen/Qwen3-8B,cnndm,15,0.053862
Qwen/Qwen3-8B,cnndm,16,0.049197
Qwen/Qwen3-8B,cnndm,17,0.048077
Qwen/Qwen3-8B,cnndm,18,0.050315
Qwen/Qwen3-8B,cnndm,19,0.055300
Qwen/Qwen3-8B,cnndm,20,0.040208
Qwen/Qwen3-8B,cnndm,21,0.047066
Qwen/Qwen3-8B,cnndm,22,0.063930
Qwen/Qwen3-8B,cnndm,23,0.062383
Qwen/Qwen3-8B,cnndm,24,0.056907
Qwen/Qwen3-8B,cnndm,25,0.041675
Qwen/Qwen3-8B,cnndm,26,0.037627
Qwen/Qwen3-8B,cnndm,27,0.037378
Qwen/Qwen3-8B,cnndm,28,0.039893
Qwen/Qwen3-8B,cnndm,29,0.037602
Qwen/Qwen3-8B,cnndm,30,0.037576
Qwen/Qwen3-8B,cnndm,31,0.032303
Qwen/Qwen3-8B,cnndm,32,0.030106
Qwen/Qwen3-8B,cnndm,33,0.030533
Qwen/Qwen3-8B,cnndm,34,0.046535
Qwen/Qwen3-8B,cnndm,35,0.669089
