model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,0,0,128,0.478950
Qwen/Qwen3-8B,cnndm,0,0,512,0.307502
Qwen/Qwen3-8B,cnndm,0,0,2048,0.138624
Qwen/Qwen3-8B,cnndm,0,0,4096,0.063703
Qwen/Qwen3-8B,cnndm,0,1,128,0.057126
Qwen/Qwen3-8B,cnndm,0,1,512,0.038525
Qwen/Qwen3-8B,cnndm,0,1,2048,0.009828
Qwen/Qwen3-8B,cnndm,0,1,4096,0.003212
Qwen/Qwen3-8B,cnndm,0,2,128,0.286747
Qwen/Qwen3-8B,cnndm,0,2,512,0.227740
Qwen/Qwen3-8B,cnndm,0,2,2048,0.138126
Qwen/Qwen3-8B,cnndm,0,2,4096,0.080369
Qwen/Qwen3-8B,cnndm,0,3,128,0.569090
Qwen/Qwen3-8B,cnndm,0,3,512,0.380257
Qwen/Qwen3-8B,cnndm,0,3,2048,0.159396
Qwen/Qwen3-8B,cnndm,0,3,4096,0.093163
Qwen/Qwen3-8B,cnndm,0,4,128,0.127852
Qwen/Qwen3-8B,cnndm,0,4,512,0.071592
Qwen/Qwen3-8B,cnndm,0,4,2048,0.022935
Qwen/Qwen3-8B,cnndm,0,4,4096,0.002501
Qwen/Qwen3-8B,cnndm,0,5,128,0.432717
Qwen/Qwen3-8B,cnndm,0,5,512,0.340903
Qwen/Qwen3-8B,cnndm,0,5,2048,0.068385
Qwen/Qwen3-8B,cnndm,0,5,4096,0.025344
Qwen/Qwen3-8B,cnndm,0,6,128,0.093591
Qwen/Qwen3-8B,cnndm,0,6,512,0.060637
Qwen/Qwen3-8B,cnndm,0,6,2048,0.022142
Qwen/Qwen3-8B,cnndm,0,6,4096,0.001836
Qwen/Qwen3-8B,cnndm,0,7,128,0.118402
Qwen/Qwen3-8B,cnndm,0,7,512,0.074207
Qwen/Qwen3-8B,cnndm,0,7,2048,0.032851
Qwen/Qwen3-8B,cnndm,0,7,4096,0.002586
Qwen/Qwen3-8B,cnndm,0,8,128,0.311020
Qwen/Qwen3-8B,cnndm,0,8,512,0.211273
Qwen/Qwen3-8B,cnndm,0,8,2048,0.059022
Qwen/Qwen3-8B,cnndm,0,8,4096,0.008973
Qwen/Qwen3-8B,cnndm,0,9,128,0.133496
Qwen/Qwen3-8B,cnndm,0,9,512,0.091506
Qwen/Qwen3-8B,cnndm,0,9,2048,0.037302
Qwen/Qwen3-8B,cnndm,0,9,4096,0.005971
Qwen/Qwen3-8B,cnndm,0,10,128,0.077961
Qwen/Qwen3-8B,cnndm,0,10,512,0.049134
Qwen/Qwen3-8B,cnndm,0,10,2048,0.022070
Qwen/Qwen3-8B,cnndm,0,10,4096,0.002026
Qwen/Qwen3-8B,cnndm,0,11,128,0.095692
Qwen/Qwen3-8B,cnndm,0,11,512,0.056320
Qwen/Qwen3-8B,cnndm,0,11,2048,0.034411
Qwen/Qwen3-8B,cnndm,0,11,4096,0.002586
Qwen/Qwen3-8B,cnndm,0,12,128,0.261871
Qwen/Qwen3-8B,cnndm,0,12,512,0.166267
Qwen/Qwen3-8B,cnndm,0,12,2048,0.067474
Qwen/Qwen3-8B,cnndm,0,12,4096,0.025306
Qwen/Qwen3-8B,cnndm,0,13,128,0.523874
Qwen/Qwen3-8B,cnndm,0,13,512,0.335889
Qwen/Qwen3-8B,cnndm,0,13,2048,0.158174
Qwen/Qwen3-8B,cnndm,0,13,4096,0.061456
Qwen/Qwen3-8B,cnndm,0,14,128,0.466662
Qwen/Qwen3-8B,cnndm,0,14,512,0.299441
Qwen/Qwen3-8B,cnndm,0,14,2048,0.128846
Qwen/Qwen3-8B,cnndm,0,14,4096,0.047533
Qwen/Qwen3-8B,cnndm,0,15,128,0.253613
Qwen/Qwen3-8B,cnndm,0,15,512,0.194714
Qwen/Qwen3-8B,cnndm,0,15,2048,0.094248
Qwen/Qwen3-8B,cnndm,0,15,4096,0.057596
Qwen/Qwen3-8B,cnndm,0,16,128,0.180998
Qwen/Qwen3-8B,cnndm,0,16,512,0.106182
Qwen/Qwen3-8B,cnndm,0,16,2048,0.035310
Qwen/Qwen3-8B,cnndm,0,16,4096,0.004828
Qwen/Qwen3-8B,cnndm,0,17,128,0.206358
Qwen/Qwen3-8B,cnndm,0,17,512,0.119963
Qwen/Qwen3-8B,cnndm,0,17,2048,0.036993
Qwen/Qwen3-8B,cnndm,0,17,4096,0.004585
Qwen/Qwen3-8B,cnndm,0,18,128,0.193509
Qwen/Qwen3-8B,cnndm,0,18,512,0.098524
Qwen/Qwen3-8B,cnndm,0,18,2048,0.037444
Qwen/Qwen3-8B,cnndm,0,18,4096,0.003498
Qwen/Qwen3-8B,cnndm,0,19,128,0.168567
Qwen/Qwen3-8B,cnndm,0,19,512,0.087960
Qwen/Qwen3-8B,cnndm,0,19,2048,0.037885
Qwen/Qwen3-8B,cnndm,0,19,4096,0.004259
Qwen/Qwen3-8B,cnndm,0,20,128,0.243076
Qwen/Qwen3-8B,cnndm,0,20,512,0.172772
Qwen/Qwen3-8B,cnndm,0,20,2048,0.068920
Qwen/Qwen3-8B,cnndm,0,20,4096,0.014737
Qwen/Qwen3-8B,cnndm,0,21,128,0.343620
Qwen/Qwen3-8B,cnndm,0,21,512,0.246859
Qwen/Qwen3-8B,cnndm,0,21,2048,0.104571
Qwen/Qwen3-8B,cnndm,0,21,4096,0.028396
Qwen/Qwen3-8B,cnndm,0,22,128,0.144181
Qwen/Qwen3-8B,cnndm,0,22,512,0.109764
Qwen/Qwen3-8B,cnndm,0,22,2048,0.052692
Qwen/Qwen3-8B,cnndm,0,22,4096,0.017113
Qwen/Qwen3-8B,cnndm,0,23,128,0.197459
Qwen/Qwen3-8B,cnndm,0,23,512,0.127100
Qwen/Qwen3-8B,cnndm,0,23,2048,0.050892
Qwen/Qwen3-8B,cnndm,0,23,4096,0.010053
Qwen/Qwen3-8B,cnndm,0,24,128,0.057523
Qwen/Qwen3-8B,cnndm,0,24,512,0.042031
Qwen/Qwen3-8B,cnndm,0,24,2048,0.009626
Qwen/Qwen3-8B,cnndm,0,24,4096,0.001622
Qwen/Qwen3-8B,cnndm,0,25,128,0.812162
Qwen/Qwen3-8B,cnndm,0,25,512,0.628949
Qwen/Qwen3-8B,cnndm,0,25,2048,0.351936
Qwen/Qwen3-8B,cnndm,0,25,4096,0.278901
Qwen/Qwen3-8B,cnndm,0,26,128,0.224604
Qwen/Qwen3-8B,cnndm,0,26,512,0.126875
Qwen/Qwen3-8B,cnndm,0,26,2048,0.062730
Qwen/Qwen3-8B,cnndm,0,26,4096,0.020553
Qwen/Qwen3-8B,cnndm,0,27,128,0.620803
Qwen/Qwen3-8B,cnndm,0,27,512,0.411950
Qwen/Qwen3-8B,cnndm,0,27,2048,0.231157
Qwen/Qwen3-8B,cnndm,0,27,4096,0.097757
Qwen/Qwen3-8B,cnndm,0,28,128,0.169168
Qwen/Qwen3-8B,cnndm,0,28,512,0.092083
Qwen/Qwen3-8B,cnndm,0,28,2048,0.062645
Qwen/Qwen3-8B,cnndm,0,28,4096,0.004575
Qwen/Qwen3-8B,cnndm,0,29,128,0.587100
Qwen/Qwen3-8B,cnndm,0,29,512,0.384373
Qwen/Qwen3-8B,cnndm,0,29,2048,0.184149
Qwen/Qwen3-8B,cnndm,0,29,4096,0.048281
Qwen/Qwen3-8B,cnndm,0,30,128,0.159801
Qwen/Qwen3-8B,cnndm,0,30,512,0.082664
Qwen/Qwen3-8B,cnndm,0,30,2048,0.060618
Qwen/Qwen3-8B,cnndm,0,30,4096,0.004069
Qwen/Qwen3-8B,cnndm,0,31,128,0.182884
Qwen/Qwen3-8B,cnndm,0,31,512,0.093128
Qwen/Qwen3-8B,cnndm,0,31,2048,0.070691
Qwen/Qwen3-8B,cnndm,0,31,4096,0.004740
Qwen/Qwen3-8B,cnndm,1,0,128,0.207884
Qwen/Qwen3-8B,cnndm,1,0,512,0.141012
Qwen/Qwen3-8B,cnndm,1,0,2048,0.059155
Qwen/Qwen3-8B,cnndm,1,0,4096,0.041845
Qwen/Qwen3-8B,cnndm,1,1,128,0.418701
Qwen/Qwen3-8B,cnndm,1,1,512,0.300233
Qwen/Qwen3-8B,cnndm,1,1,2048,0.133150
Qwen/Qwen3-8B,cnndm,1,1,4096,0.083009
Qwen/Qwen3-8B,cnndm,1,2,128,0.300261
Qwen/Qwen3-8B,cnndm,1,2,512,0.201995
Qwen/Qwen3-8B,cnndm,1,2,2048,0.088316
Qwen/Qwen3-8B,cnndm,1,2,4096,0.061390
Qwen/Qwen3-8B,cnndm,1,3,128,0.538421
Qwen/Qwen3-8B,cnndm,1,3,512,0.386650
Qwen/Qwen3-8B,cnndm,1,3,2048,0.187504
Qwen/Qwen3-8B,cnndm,1,3,4096,0.121448
Qwen/Qwen3-8B,cnndm,1,4,128,0.053919
Qwen/Qwen3-8B,cnndm,1,4,512,0.037865
Qwen/Qwen3-8B,cnndm,1,4,2048,0.016335
Qwen/Qwen3-8B,cnndm,1,4,4096,0.010719
Qwen/Qwen3-8B,cnndm,1,5,128,0.228703
Qwen/Qwen3-8B,cnndm,1,5,512,0.166523
Qwen/Qwen3-8B,cnndm,1,5,2048,0.066917
Qwen/Qwen3-8B,cnndm,1,5,4096,0.030244
Qwen/Qwen3-8B,cnndm,1,6,128,0.419227
Qwen/Qwen3-8B,cnndm,1,6,512,0.300591
Qwen/Qwen3-8B,cnndm,1,6,2048,0.125015
Qwen/Qwen3-8B,cnndm,1,6,4096,0.053323
Qwen/Qwen3-8B,cnndm,1,7,128,0.152896
Qwen/Qwen3-8B,cnndm,1,7,512,0.101513
Qwen/Qwen3-8B,cnndm,1,7,2048,0.045773
Qwen/Qwen3-8B,cnndm,1,7,4096,0.026062
Qwen/Qwen3-8B,cnndm,1,8,128,0.600033
Qwen/Qwen3-8B,cnndm,1,8,512,0.437158
Qwen/Qwen3-8B,cnndm,1,8,2048,0.227779
Qwen/Qwen3-8B,cnndm,1,8,4096,0.090795
Qwen/Qwen3-8B,cnndm,1,9,128,0.297471
Qwen/Qwen3-8B,cnndm,1,9,512,0.170638
Qwen/Qwen3-8B,cnndm,1,9,2048,0.078236
Qwen/Qwen3-8B,cnndm,1,9,4096,0.043109
Qwen/Qwen3-8B,cnndm,1,10,128,0.809421
Qwen/Qwen3-8B,cnndm,1,10,512,0.584943
Qwen/Qwen3-8B,cnndm,1,10,2048,0.335638
Qwen/Qwen3-8B,cnndm,1,10,4096,0.197323
Qwen/Qwen3-8B,cnndm,1,11,128,0.714787
Qwen/Qwen3-8B,cnndm,1,11,512,0.512975
Qwen/Qwen3-8B,cnndm,1,11,2048,0.307859
Qwen/Qwen3-8B,cnndm,1,11,4096,0.169783
Qwen/Qwen3-8B,cnndm,1,12,128,0.452602
Qwen/Qwen3-8B,cnndm,1,12,512,0.298510
Qwen/Qwen3-8B,cnndm,1,12,2048,0.118862
Qwen/Qwen3-8B,cnndm,1,12,4096,0.053131
Qwen/Qwen3-8B,cnndm,1,13,128,0.683693
Qwen/Qwen3-8B,cnndm,1,13,512,0.516064
Qwen/Qwen3-8B,cnndm,1,13,2048,0.214742
Qwen/Qwen3-8B,cnndm,1,13,4096,0.080737
Qwen/Qwen3-8B,cnndm,1,14,128,0.606993
Qwen/Qwen3-8B,cnndm,1,14,512,0.403126
Qwen/Qwen3-8B,cnndm,1,14,2048,0.153452
Qwen/Qwen3-8B,cnndm,1,14,4096,0.075475
Qwen/Qwen3-8B,cnndm,1,15,128,0.491874
Qwen/Qwen3-8B,cnndm,1,15,512,0.328708
Qwen/Qwen3-8B,cnndm,1,15,2048,0.141487
Qwen/Qwen3-8B,cnndm,1,15,4096,0.078037
Qwen/Qwen3-8B,cnndm,1,16,128,0.469342
Qwen/Qwen3-8B,cnndm,1,16,512,0.283706
Qwen/Qwen3-8B,cnndm,1,16,2048,0.117147
Qwen/Qwen3-8B,cnndm,1,16,4096,0.047160
Qwen/Qwen3-8B,cnndm,1,17,128,0.925647
Qwen/Qwen3-8B,cnndm,1,17,512,0.838095
Qwen/Qwen3-8B,cnndm,1,17,2048,0.578963
Qwen/Qwen3-8B,cnndm,1,17,4096,0.398564
Qwen/Qwen3-8B,cnndm,1,18,128,0.804609
Qwen/Qwen3-8B,cnndm,1,18,512,0.547634
Qwen/Qwen3-8B,cnndm,1,18,2048,0.227649
Qwen/Qwen3-8B,cnndm,1,18,4096,0.101854
Qwen/Qwen3-8B,cnndm,1,19,128,0.434180
Qwen/Qwen3-8B,cnndm,1,19,512,0.279254
Qwen/Qwen3-8B,cnndm,1,19,2048,0.128718
Qwen/Qwen3-8B,cnndm,1,19,4096,0.057662
Qwen/Qwen3-8B,cnndm,1,20,128,0.715608
Qwen/Qwen3-8B,cnndm,1,20,512,0.420239
Qwen/Qwen3-8B,cnndm,1,20,2048,0.165324
Qwen/Qwen3-8B,cnndm,1,20,4096,0.088503
Qwen/Qwen3-8B,cnndm,1,21,128,0.153903
Qwen/Qwen3-8B,cnndm,1,21,512,0.082737
Qwen/Qwen3-8B,cnndm,1,21,2048,0.029794
Qwen/Qwen3-8B,cnndm,1,21,4096,0.015936
Qwen/Qwen3-8B,cnndm,1,22,128,0.493936
Qwen/Qwen3-8B,cnndm,1,22,512,0.325060
Qwen/Qwen3-8B,cnndm,1,22,2048,0.157450
Qwen/Qwen3-8B,cnndm,1,22,4096,0.077856
Qwen/Qwen3-8B,cnndm,1,23,128,0.455090
Qwen/Qwen3-8B,cnndm,1,23,512,0.295617
Qwen/Qwen3-8B,cnndm,1,23,2048,0.131130
Qwen/Qwen3-8B,cnndm,1,23,4096,0.073382
Qwen/Qwen3-8B,cnndm,1,24,128,0.128635
Qwen/Qwen3-8B,cnndm,1,24,512,0.023159
Qwen/Qwen3-8B,cnndm,1,24,2048,0.010302
Qwen/Qwen3-8B,cnndm,1,24,4096,0.012792
Qwen/Qwen3-8B,cnndm,1,25,128,0.040010
Qwen/Qwen3-8B,cnndm,1,25,512,0.023032
Qwen/Qwen3-8B,cnndm,1,25,2048,0.014574
Qwen/Qwen3-8B,cnndm,1,25,4096,0.016939
Qwen/Qwen3-8B,cnndm,1,26,128,0.516172
Qwen/Qwen3-8B,cnndm,1,26,512,0.310365
Qwen/Qwen3-8B,cnndm,1,26,2048,0.104063
Qwen/Qwen3-8B,cnndm,1,26,4096,0.047452
Qwen/Qwen3-8B,cnndm,1,27,128,0.577301
Qwen/Qwen3-8B,cnndm,1,27,512,0.438894
Qwen/Qwen3-8B,cnndm,1,27,2048,0.209193
Qwen/Qwen3-8B,cnndm,1,27,4096,0.083093
Qwen/Qwen3-8B,cnndm,1,28,128,0.946134
Qwen/Qwen3-8B,cnndm,1,28,512,0.701864
Qwen/Qwen3-8B,cnndm,1,28,2048,0.296307
Qwen/Qwen3-8B,cnndm,1,28,4096,0.148844
Qwen/Qwen3-8B,cnndm,1,29,128,0.451996
Qwen/Qwen3-8B,cnndm,1,29,512,0.329915
Qwen/Qwen3-8B,cnndm,1,29,2048,0.185387
Qwen/Qwen3-8B,cnndm,1,29,4096,0.106715
Qwen/Qwen3-8B,cnndm,1,30,128,0.429399
Qwen/Qwen3-8B,cnndm,1,30,512,0.269451
Qwen/Qwen3-8B,cnndm,1,30,2048,0.124795
Qwen/Qwen3-8B,cnndm,1,30,4096,0.073579
Qwen/Qwen3-8B,cnndm,1,31,128,0.463554
Qwen/Qwen3-8B,cnndm,1,31,512,0.331978
Qwen/Qwen3-8B,cnndm,1,31,2048,0.217951
Qwen/Qwen3-8B,cnndm,1,31,4096,0.124845
Qwen/Qwen3-8B,cnndm,2,0,128,0.717763
Qwen/Qwen3-8B,cnndm,2,0,512,0.562033
Qwen/Qwen3-8B,cnndm,2,0,2048,0.306089
Qwen/Qwen3-8B,cnndm,2,0,4096,0.182348
Qwen/Qwen3-8B,cnndm,2,1,128,0.777208
Qwen/Qwen3-8B,cnndm,2,1,512,0.637681
Qwen/Qwen3-8B,cnndm,2,1,2048,0.388577
Qwen/Qwen3-8B,cnndm,2,1,4096,0.212961
Qwen/Qwen3-8B,cnndm,2,2,128,0.801675
Qwen/Qwen3-8B,cnndm,2,2,512,0.649945
Qwen/Qwen3-8B,cnndm,2,2,2048,0.386959
Qwen/Qwen3-8B,cnndm,2,2,4096,0.217473
Qwen/Qwen3-8B,cnndm,2,3,128,0.728440
Qwen/Qwen3-8B,cnndm,2,3,512,0.568568
Qwen/Qwen3-8B,cnndm,2,3,2048,0.322849
Qwen/Qwen3-8B,cnndm,2,3,4096,0.180387
