model,refs,layer,importance
Qwen/Qwen3-8B,cnndm,0,0.659207
Qwen/Qwen3-8B,cnndm,1,0.068618
Qwen/Qwen3-8B,cnndm,2,0.046899
Qwen/Qwen3-8B,cnndm,3,0.064158
Qwen/Qwen3-8B,cnndm,4,0.082739
Qwen/Qwen3-8B,cnndm,5,0.082073
Qwen/Qwen3-8B,cnndm,6,0.080424
Qwen/Qwen3-8B,cnndm,7,0.071320
Qwen/Qwen3-8B,cnndm,8,0.091793
Qwen/Qwen3-8B,cnndm,9,0.093878
Qwen/Qwen3-8B,cnndm,10,0.092478
Qwen/Qwen3-8B,cnndm,11,0.079346
Qwen/Qwen3-8B,cnndm,12,0.078553
Qwen/Qwen3-8B,cnndm,13,0.068039
Qwen/Qwen3-8B,cnndm,14,0.065471
Qwen/Qwen3-8B,cnndm,15,0.056399
Qwen/Qwen3-8B,cnndm,16,0.051628
Qwen/Qwen3-8B,cnndm,17,0.049822
Qwen/Qwen3-8B,cnndm,18,0.052507
Qwen/Qwen3-8B,cnndm,19,0.056903
Qwen/Qwen3-8B,cnndm,20,0.041685
Qwen/Qwen3-8B,cnndm,21,0.048456
Qwen/Qwen3-8B,cnndm,22,0.065326
Qwen/Qwen3-8B,cnndm,23,0.063661
Qwen/Qwen3-8B,cnndm,24,0.057587
Qwen/Qwen3-8B,cnndm,25,0.041939
Qwen/Qwen3-8B,cnndm,26,0.037721
Qwen/Qwen3-8B,cnndm,27,0.037275
Qwen/Qwen3-8B,cnndm,28,0.040147
Qwen/Qwen3-8B,cnndm,29,0.037647
Qwen/Qwen3-8B,cnndm,30,0.037710
Qwen/Qwen3-8B,cnndm,31,0.032561
Qwen/Qwen3-8B,cnndm,32,0.030608
Qwen/Qwen3-8B,cnndm,33,0.030913
Qwen/Qwen3-8B,cnndm,34,0.046958
Qwen/Qwen3-8B,cnndm,35,0.667799
