model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,0,0,128,0.385340
Qwen/Qwen3-8B,cnndm,0,0,512,0.199726
Qwen/Qwen3-8B,cnndm,0,0,2048,0.035976
Qwen/Qwen3-8B,cnndm,0,1,128,0.041910
Qwen/Qwen3-8B,cnndm,0,1,512,0.024889
Qwen/Qwen3-8B,cnndm,0,1,2048,0.003465
Qwen/Qwen3-8B,cnndm,0,2,128,0.230293
Qwen/Qwen3-8B,cnndm,0,2,512,0.151207
Qwen/Qwen3-8B,cnndm,0,2,2048,0.038195
Qwen/Qwen3-8B,cnndm,0,3,128,0.470355
Qwen/Qwen3-8B,cnndm,0,3,512,0.258320
Qwen/Qwen3-8B,cnndm,0,3,2048,0.033762
Qwen/Qwen3-8B,cnndm,0,4,128,0.098008
Qwen/Qwen3-8B,cnndm,0,4,512,0.044162
Qwen/Qwen3-8B,cnndm,0,4,2048,0.006405
Qwen/Qwen3-8B,cnndm,0,5,128,0.366119
Qwen/Qwen3-8B,cnndm,0,5,512,0.259841
Qwen/Qwen3-8B,cnndm,0,5,2048,0.024268
Qwen/Qwen3-8B,cnndm,0,6,128,0.065620
Qwen/Qwen3-8B,cnndm,0,6,512,0.034513
Qwen/Qwen3-8B,cnndm,0,6,2048,0.005662
Qwen/Qwen3-8B,cnndm,0,7,128,0.083902
Qwen/Qwen3-8B,cnndm,0,7,512,0.041373
Qwen/Qwen3-8B,cnndm,0,7,2048,0.007536
Qwen/Qwen3-8B,cnndm,0,8,128,0.245634
Qwen/Qwen3-8B,cnndm,0,8,512,0.139244
Qwen/Qwen3-8B,cnndm,0,8,2048,0.014146
Qwen/Qwen3-8B,cnndm,0,9,128,0.100235
Qwen/Qwen3-8B,cnndm,0,9,512,0.055252
Qwen/Qwen3-8B,cnndm,0,9,2048,0.010558
Qwen/Qwen3-8B,cnndm,0,10,128,0.053840
Qwen/Qwen3-8B,cnndm,0,10,512,0.026365
Qwen/Qwen3-8B,cnndm,0,10,2048,0.005946
Qwen/Qwen3-8B,cnndm,0,11,128,0.064842
Qwen/Qwen3-8B,cnndm,0,11,512,0.026370
Qwen/Qwen3-8B,cnndm,0,11,2048,0.008026
Qwen/Qwen3-8B,cnndm,0,12,128,0.199834
Qwen/Qwen3-8B,cnndm,0,12,512,0.101105
Qwen/Qwen3-8B,cnndm,0,12,2048,0.016756
Qwen/Qwen3-8B,cnndm,0,13,128,0.433855
Qwen/Qwen3-8B,cnndm,0,13,512,0.217453
Qwen/Qwen3-8B,cnndm,0,13,2048,0.040633
Qwen/Qwen3-8B,cnndm,0,14,128,0.377077
Qwen/Qwen3-8B,cnndm,0,14,512,0.194800
Qwen/Qwen3-8B,cnndm,0,14,2048,0.033303
Qwen/Qwen3-8B,cnndm,0,15,128,0.199132
Qwen/Qwen3-8B,cnndm,0,15,512,0.125949
Qwen/Qwen3-8B,cnndm,0,15,2048,0.023324
Qwen/Qwen3-8B,cnndm,0,16,128,0.135924
Qwen/Qwen3-8B,cnndm,0,16,512,0.060760
Qwen/Qwen3-8B,cnndm,0,16,2048,0.008579
Qwen/Qwen3-8B,cnndm,0,17,128,0.157027
Qwen/Qwen3-8B,cnndm,0,17,512,0.070665
Qwen/Qwen3-8B,cnndm,0,17,2048,0.008346
Qwen/Qwen3-8B,cnndm,0,18,128,0.161809
Qwen/Qwen3-8B,cnndm,0,18,512,0.064140
Qwen/Qwen3-8B,cnndm,0,18,2048,0.011854
Qwen/Qwen3-8B,cnndm,0,19,128,0.126945
Qwen/Qwen3-8B,cnndm,0,19,512,0.045936
Qwen/Qwen3-8B,cnndm,0,19,2048,0.008582
Qwen/Qwen3-8B,cnndm,0,20,128,0.177682
Qwen/Qwen3-8B,cnndm,0,20,512,0.105666
Qwen/Qwen3-8B,cnndm,0,20,2048,0.012633
Qwen/Qwen3-8B,cnndm,0,21,128,0.276420
Qwen/Qwen3-8B,cnndm,0,21,512,0.161892
Qwen/Qwen3-8B,cnndm,0,21,2048,0.024383
