arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,22.6,2.927
k2,2,4,2000,89.0,2.949
k2,2,8,2000,170.8,2.96
k2,2,16,2000,338.5,2.963
k2,2,32,2000,681.3,2.949
k2,2,64,2000,1311.6,2.948
k2,2,128,2000,2497.4,2.949
k2,2,1,8000,22.3,2.944
k2,2,4,8000,87.9,2.944
k2,2,8,8000,169.2,2.937
k2,2,16,8000,339.4,2.94
k2,2,32,8000,649.2,2.943
k2,2,1,14000,21.9,2.963
k2,2,4,14000,85.6,2.939
k2,2,8,14000,184.5,2.961
k2,2,16,14000,341.0,2.941
k4,4,1,2000,18.9,4.879
k4,4,4,2000,73.8,4.835
k4,4,8,2000,140.7,4.833
k4,4,16,2000,285.2,4.835
k4,4,32,2000,551.0,4.818
k4,4,64,2000,1139.4,4.833
k4,4,128,2000,1996.6,4.822
k4,4,1,8000,18.3,4.676
k4,4,4,8000,74.8,4.824
k4,4,8,8000,144.7,4.805
k4,4,16,8000,273.8,4.829
k4,4,32,8000,524.6,4.801
k4,4,1,14000,19.0,4.879
k4,4,4,14000,68.3,4.78
k4,4,8,14000,142.0,4.858
k4,4,16,14000,278.4,4.829
k6,6,1,2000,16.1,6.4
k6,6,4,2000,59.8,6.582
k6,6,8,2000,123.0,6.71
k6,6,16,2000,223.6,6.613
k6,6,32,2000,457.2,6.567
k6,6,64,2000,969.5,6.667
k6,6,128,2000,1805.0,6.623
k6,6,1,8000,15.9,6.52
k6,6,4,8000,64.2,6.571
k6,6,8,8000,126.5,6.73
k6,6,16,8000,238.1,6.564
k6,6,32,8000,446.6,6.569
k6,6,1,14000,17.0,7.0
k6,6,4,14000,62.9,6.567
k6,6,8,14000,116.2,6.518
k6,6,16,14000,218.1,6.44
