arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,131.7,2.793
k2,2,4,2000,535.4,2.905
k2,2,8,2000,995.7,2.914
k2,2,16,2000,1796.8,2.914
k2,2,32,2000,3057.1,2.899
k2,2,64,2000,4529.8,2.91
k2,2,128,2000,4316.4,2.91
k2,2,1,8000,138.6,2.945
k2,2,4,8000,490.5,2.914
k2,2,8,8000,839.1,2.943
k2,2,16,8000,1320.6,2.925
k2,2,32,8000,1331.5,2.912
k2,2,1,14000,137.8,2.909
k2,2,4,14000,446.6,2.936
k2,2,8,14000,714.5,2.966
k2,2,16,14000,604.3,2.903
k4,4,1,2000,125.1,4.324
k4,4,4,2000,517.5,4.679
k4,4,8,2000,941.3,4.781
k4,4,16,2000,1745.3,4.723
k4,4,32,2000,2904.3,4.728
k4,4,64,2000,4170.4,4.712
k4,4,128,2000,4451.8,4.701
k4,4,1,8000,140.4,5.0
k4,4,4,8000,475.6,4.71
k4,4,8,8000,832.7,4.71
k4,4,16,8000,1245.0,4.707
k4,4,32,8000,1212.6,4.715
k4,4,1,14000,136.0,4.97
k4,4,4,14000,416.4,4.696
k4,4,8,14000,665.3,4.779
k4,4,16,14000,764.3,4.623
k6,6,1,2000,116.8,5.714
k6,6,4,2000,474.0,6.422
k6,6,8,2000,940.1,6.591
k6,6,16,2000,1720.9,6.452
k6,6,32,2000,2854.4,6.486
k6,6,64,2000,4014.6,6.372
k6,6,128,2000,4650.9,6.372
k6,6,1,8000,132.3,6.792
k6,6,4,8000,469.2,6.653
k6,6,8,8000,769.1,6.431
k6,6,16,8000,1156.2,6.354
k6,6,32,8000,1366.7,6.352
k6,6,1,14000,133.6,6.792
k6,6,4,14000,386.6,6.286
k6,6,8,14000,640.3,6.465
k6,6,16,14000,793.6,6.312
