arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,133.6,2.729
k2,2,4,2000,521.8,2.899
k2,2,8,2000,966.1,2.893
k2,2,16,2000,1791.5,2.908
k2,2,32,2000,2958.3,2.909
k2,2,64,2000,4388.3,2.915
k2,2,128,2000,5642.6,2.91
k2,2,1,8000,140.8,2.944
k2,2,4,8000,469.4,2.865
k2,2,8,8000,763.0,2.901
k2,2,16,8000,1217.4,2.916
k2,2,32,8000,1623.4,2.926
k2,2,1,14000,139.7,2.944
k2,2,4,14000,418.3,2.93
k2,2,8,14000,660.2,2.936
k2,2,16,14000,889.8,2.893
k4,4,1,2000,132.2,4.417
k4,4,4,2000,492.8,4.739
k4,4,8,2000,936.5,4.759
k4,4,16,2000,1671.1,4.674
k4,4,32,2000,2769.7,4.682
k4,4,64,2000,4100.2,4.693
k4,4,128,2000,5213.7,4.687
k4,4,1,8000,131.2,4.735
k4,4,4,8000,429.0,4.601
k4,4,8,8000,713.3,4.687
k4,4,16,8000,1164.5,4.69
k4,4,32,8000,1528.9,4.679
k4,4,1,14000,135.9,4.939
k4,4,4,14000,414.8,4.847
k4,4,8,14000,599.1,4.715
k4,4,16,14000,840.5,4.708
k6,6,1,2000,116.0,5.621
k6,6,4,2000,462.6,6.186
k6,6,8,2000,819.8,6.452
k6,6,16,2000,1477.0,6.362
k6,6,32,2000,2474.0,6.378
k6,6,64,2000,3787.3,6.372
k6,6,128,2000,4817.9,6.323
k6,6,1,8000,129.1,6.52
k6,6,4,8000,417.0,6.245
k6,6,8,8000,642.0,6.409
k6,6,16,8000,1041.7,6.393
k6,6,32,8000,1374.0,6.317
k6,6,1,14000,88.4,6.52
k6,6,4,14000,330.0,6.284
k6,6,8,14000,560.9,6.482
k6,6,16,14000,800.4,6.39
