arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,152.4,2.623
k2,2,4,2000,607.7,2.827
k2,2,8,2000,1122.1,2.818
k2,2,16,2000,1991.0,2.864
k2,2,32,2000,3060.9,2.865
k2,2,64,2000,4340.3,2.858
k2,2,128,2000,5277.4,2.855
k2,2,1,8000,161.7,2.839
k2,2,4,8000,529.8,2.864
k2,2,8,8000,849.4,2.889
k2,2,16,8000,1280.3,2.884
k2,2,32,8000,1609.7,2.873
k2,2,1,14000,161.0,2.909
k2,2,4,14000,453.2,2.842
k2,2,8,14000,693.6,2.862
k2,2,16,14000,905.2,2.836
k4,4,1,2000,145.0,4.0
k4,4,4,2000,565.5,4.429
k4,4,8,2000,986.3,4.32
k4,4,16,2000,1857.8,4.486
k4,4,32,2000,2789.6,4.507
k4,4,64,2000,3846.5,4.5
k4,4,128,2000,4668.1,4.491
k4,4,1,8000,153.7,4.444
k4,4,4,8000,498.8,4.486
k4,4,8,8000,791.4,4.592
k4,4,16,8000,1178.9,4.556
k4,4,32,8000,1470.7,4.562
k4,4,1,14000,156.6,4.735
k4,4,4,14000,306.4,4.377
k4,4,8,14000,579.7,4.372
k4,4,16,14000,844.8,4.448
k6,6,1,2000,138.0,5.161
k6,6,4,2000,524.7,5.872
k6,6,8,2000,982.6,5.89
k6,6,16,2000,1663.1,6.038
k6,6,32,2000,2527.6,6.006
k6,6,64,2000,3483.1,5.991
k6,6,128,2000,4226.7,5.984
k6,6,1,8000,154.4,6.192
k6,6,4,8000,485.1,6.038
k6,6,8,8000,722.9,6.212
k6,6,16,8000,1051.1,6.077
k6,6,32,8000,1336.6,6.128
k6,6,1,14000,151.9,6.346
k6,6,4,14000,372.4,5.953
k6,6,8,14000,588.5,5.976
k6,6,16,14000,756.0,5.813
