arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,156.4,2.825
k2,2,4,2000,588.5,2.874
k2,2,8,2000,1084.9,2.903
k2,2,16,2000,1895.6,2.876
k2,2,32,2000,3054.7,2.881
k2,2,64,2000,4537.3,2.9
k2,2,128,2000,5619.0,2.897
k2,2,1,8000,150.8,2.839
k2,2,4,8000,496.6,2.851
k2,2,8,8000,819.4,2.896
k2,2,16,8000,1228.9,2.892
k2,2,32,8000,1593.4,2.898
k2,2,1,14000,150.7,2.944
k2,2,4,14000,425.2,2.881
k2,2,8,14000,681.4,2.896
k2,2,16,14000,900.5,2.899
k4,4,1,2000,138.4,4.103
k4,4,4,2000,549.9,4.546
k4,4,8,2000,1032.7,4.624
k4,4,16,2000,1784.5,4.609
k4,4,32,2000,2867.1,4.616
k4,4,64,2000,4081.5,4.64
k4,4,128,2000,5045.6,4.626
k4,4,1,8000,152.5,4.571
k4,4,4,8000,486.7,4.612
k4,4,8,8000,765.5,4.629
k4,4,16,8000,1149.5,4.631
k4,4,32,8000,1524.7,4.666
k4,4,1,14000,147.9,4.765
k4,4,4,14000,380.4,4.547
k4,4,8,14000,617.4,4.623
k4,4,16,14000,830.2,4.609
k6,6,1,2000,126.5,5.467
k6,6,4,2000,509.3,6.048
k6,6,8,2000,950.9,6.119
k6,6,16,2000,1663.8,6.185
k6,6,32,2000,2519.8,6.158
k6,6,64,2000,3723.8,6.24
k6,6,128,2000,4585.2,6.206
k6,6,1,8000,145.7,6.192
k6,6,4,8000,474.6,6.223
k6,6,8,8000,711.2,6.238
k6,6,16,8000,1090.5,6.226
k6,6,32,8000,1412.8,6.326
k6,6,1,14000,151.8,6.708
k6,6,4,14000,385.6,6.255
k6,6,8,14000,568.8,6.153
k6,6,16,14000,763.9,6.206
