arm,K,batch,ctx,decode_toks,accept
k4,4,1,2000,179.2,4.237
k4,4,4,2000,728.8,4.653
k4,4,8,2000,1297.0,4.657
k4,4,16,2000,2179.1,4.728
k4,4,32,2000,3292.0,4.688
k4,4,64,2000,4531.6,4.699
k4,4,128,2000,5391.7,4.689
k4,4,1,8000,186.9,4.676
k4,4,4,8000,575.1,4.578
k4,4,8,8000,918.1,4.68
k4,4,16,8000,1285.3,4.696
k4,4,32,8000,1650.9,4.72
k4,4,1,14000,181.3,4.765
k4,4,4,14000,472.0,4.699
k4,4,8,14000,708.4,4.677
k4,4,16,14000,907.4,4.646
k6,6,1,2000,159.3,5.441
k6,6,4,2000,645.6,6.178
k6,6,8,2000,1227.7,6.263
k6,6,16,2000,2000.6,6.397
k6,6,32,2000,3101.5,6.361
k6,6,64,2000,4243.2,6.393
k6,6,128,2000,5008.4,6.362
k6,6,1,8000,182.3,6.378
k6,6,4,8000,545.2,6.163
k6,6,8,8000,835.0,6.283
k6,6,16,8000,1244.6,6.418
k6,6,32,8000,1518.9,6.381
k6,6,1,14000,174.9,6.44
k6,6,4,14000,466.1,6.377
k6,6,8,14000,696.4,6.41
k6,6,16,14000,854.7,6.256
k2,2,1,2000,186.9,2.791
k2,2,4,2000,717.9,2.91
k2,2,8,2000,1278.3,2.907
k2,2,16,2000,2193.0,2.912
k2,2,32,2000,3421.7,2.903
k2,2,64,2000,4848.2,2.91
k2,2,128,2000,5817.4,2.905
k2,2,1,8000,183.0,2.846
k2,2,4,8000,578.5,2.855
k2,2,8,8000,929.5,2.9
k2,2,16,8000,1361.7,2.901
k2,2,32,8000,1728.0,2.916
k2,2,1,14000,184.2,2.944
k2,2,4,14000,506.8,2.903
k2,2,8,14000,759.4,2.925
k2,2,16,14000,974.7,2.899
