arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,172.4,3.0
k2,2,4,2000,655.9,2.986
k2,2,8,2000,1211.1,2.98
k2,2,16,2000,2066.0,2.975
k2,2,32,2000,3282.3,2.968
k2,2,64,2000,4003.6,2.973
k2,2,128,2000,5000.4,2.972
k2,2,1,8000,166.3,2.981
k2,2,4,8000,538.5,2.961
k2,2,8,8000,879.5,2.944
k2,2,16,8000,1282.9,2.956
k2,2,32,8000,1661.8,2.959
k2,2,1,14000,161.9,2.981
k2,2,4,14000,491.2,2.995
k2,2,8,14000,712.5,2.961
k2,2,16,14000,950.4,2.961
k4,4,1,2000,173.7,4.879
k4,4,4,2000,657.4,4.933
k4,4,8,2000,1224.1,4.928
k4,4,16,2000,1971.1,4.896
k4,4,32,2000,3115.4,4.891
k4,4,64,2000,3680.9,4.907
k4,4,128,2000,4553.0,4.895
k4,4,1,8000,100.9,4.676
k4,4,4,8000,555.8,4.946
k4,4,8,8000,900.0,4.907
k4,4,16,8000,1285.6,4.883
k4,4,32,8000,1626.0,4.88
k4,4,1,14000,164.3,4.879
k4,4,4,14000,483.3,4.915
k4,4,8,14000,712.2,4.877
k4,4,16,14000,908.0,4.857
k6,6,1,2000,172.5,6.875
k6,6,4,2000,645.4,6.866
k6,6,8,2000,1164.6,6.689
k6,6,16,2000,2066.9,6.858
k6,6,32,2000,3005.5,6.809
k6,6,64,2000,3498.0,6.819
k6,6,128,2000,4294.9,6.781
k6,6,1,8000,161.3,6.6
k6,6,4,8000,521.7,6.619
k6,6,8,8000,874.3,6.774
k6,6,16,8000,1232.5,6.782
k6,6,32,8000,1584.0,6.798
k6,6,1,14000,151.7,6.6
k6,6,4,14000,447.9,6.672
k6,6,8,14000,674.1,6.642
k6,6,16,14000,872.0,6.659
