arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,54.7,1.039
k2,2,4,2000,203.1,1.054
k2,2,8,2000,379.4,1.043
k2,2,16,2000,707.3,1.048
k2,2,32,2000,1092.0,1.047
k2,2,64,2000,1614.8,1.046
k2,2,128,2000,2041.5,1.048
k2,2,1,8000,54.2,1.053
k2,2,4,8000,173.7,1.026
k2,2,8,8000,292.4,1.035
k2,2,16,8000,459.2,1.035
k2,2,32,8000,607.3,1.034
k2,2,1,14000,50.3,1.019
k2,2,4,14000,156.1,1.028
k2,2,8,14000,240.0,1.024
k2,2,16,14000,339.0,1.027
k4,4,1,2000,33.7,1.039
k4,4,4,2000,129.4,1.055
k4,4,8,2000,239.4,1.045
k4,4,16,2000,439.6,1.047
k4,4,32,2000,673.0,1.048
k4,4,64,2000,955.7,1.047
k4,4,128,2000,1195.7,1.048
k4,4,1,8000,32.7,1.053
k4,4,4,8000,106.7,1.026
k4,4,8,8000,178.9,1.036
k4,4,16,8000,279.3,1.035
k4,4,32,8000,368.6,1.034
k4,4,1,14000,30.6,1.019
k4,4,4,14000,95.0,1.028
k4,4,8,14000,146.0,1.023
k4,4,16,14000,206.7,1.026
k6,6,1,2000,24.4,1.039
k6,6,4,2000,92.4,1.055
k6,6,8,2000,171.4,1.044
k6,6,16,2000,315.1,1.049
k6,6,32,2000,477.7,1.047
k6,6,64,2000,673.5,1.047
k6,6,128,2000,842.4,1.048
k6,6,1,8000,23.7,1.053
k6,6,4,8000,77.2,1.026
k6,6,8,8000,128.1,1.036
k6,6,16,8000,200.1,1.035
k6,6,32,8000,263.7,1.034
k6,6,1,14000,22.1,1.019
k6,6,4,14000,68.0,1.028
k6,6,8,14000,104.3,1.023
k6,6,16,14000,148.2,1.027
