arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,136.7,2.875
k2,2,4,2000,442.6,2.602
k2,2,8,2000,859.5,2.639
k2,2,16,2000,1503.3,2.63
k2,2,32,2000,2731.9,2.635
k2,2,64,2000,4765.9,2.665
k2,2,128,2000,6842.0,2.668
k2,2,1,8000,102.7,2.12
k2,2,4,8000,394.2,2.52
k2,2,8,8000,748.1,2.604
k2,2,16,8000,1429.1,2.712
k2,2,32,8000,2205.5,2.712
k2,2,1,14000,135.8,2.807
k2,2,4,14000,464.7,2.774
k2,2,8,14000,548.0,2.496
k2,2,16,14000,1126.0,2.688
k4,4,1,2000,136.1,4.676
k4,4,4,2000,353.8,3.873
k4,4,8,2000,694.3,3.921
k4,4,16,2000,1053.5,3.799
k4,4,32,2000,1983.0,3.838
k4,4,64,2000,3669.6,3.919
k4,4,128,2000,5726.9,3.906
k4,4,1,8000,78.7,2.729
k4,4,4,8000,295.9,3.462
k4,4,8,8000,587.7,3.684
k4,4,16,8000,1277.3,4.031
k4,4,32,8000,2065.9,4.042
k4,4,1,14000,125.4,4.351
k4,4,4,14000,397.3,4.233
k4,4,8,14000,376.3,3.405
k4,4,16,14000,900.5,3.95
k6,6,1,2000,127.9,6.52
k6,6,4,2000,255.5,4.703
k6,6,8,2000,512.7,4.996
k6,6,16,2000,919.7,4.771
k6,6,32,2000,1556.4,4.773
k6,6,64,2000,2987.0,4.948
k6,6,128,2000,4847.1,4.959
k6,6,1,8000,62.0,3.075
k6,6,4,8000,233.9,4.0
k6,6,8,8000,476.7,4.511
k6,6,16,8000,1059.9,5.141
k6,6,32,8000,1628.3,5.025
k6,6,1,14000,112.7,5.586
k6,6,4,14000,327.0,5.273
k6,6,8,14000,281.6,4.039
k6,6,16,14000,728.6,4.956
