arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,22.5,2.927
k2,2,4,2000,87.2,2.958
k2,2,8,2000,181.2,2.965
k2,2,16,2000,363.3,2.954
k2,2,32,2000,695.1,2.961
k2,2,64,2000,1347.5,2.953
k2,2,1,8000,22.5,3.0
k2,2,4,8000,89.4,2.961
k2,2,8,8000,183.0,2.945
k2,2,16,8000,361.0,2.948
k2,2,1,14000,22.3,3.0
k2,2,4,14000,92.0,2.973
k2,2,8,14000,181.7,2.95
k2,2,16,14000,367.2,2.972
k4,4,1,2000,18.6,4.879
k4,4,4,2000,72.8,4.806
k4,4,8,2000,136.0,4.874
k4,4,16,2000,280.8,4.889
k4,4,32,2000,525.9,4.868
k4,4,64,2000,1024.8,4.864
k4,4,1,8000,18.8,5.0
k4,4,4,8000,72.5,4.872
k4,4,8,8000,130.7,4.871
k4,4,16,8000,273.8,4.811
k4,4,1,14000,19.0,5.0
k4,4,4,14000,71.1,4.915
k4,4,8,14000,127.7,4.814
k4,4,16,14000,281.0,4.896
k6,6,1,2000,16.9,6.913
k6,6,4,2000,57.1,6.688
k6,6,8,2000,125.2,6.8
k6,6,16,2000,219.7,6.731
k6,6,32,2000,378.2,6.682
k6,6,64,2000,886.4,6.727
k6,6,1,8000,16.2,6.75
k6,6,4,8000,60.9,6.726
k6,6,8,8000,118.3,6.703
k6,6,16,8000,240.1,6.607
k6,6,1,14000,17.2,7.0
k6,6,4,14000,59.0,6.723
k6,6,8,14000,113.9,6.586
k6,6,16,14000,243.0,6.694
