arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,25.3,2.909
k2,2,4,2000,92.2,2.819
k2,2,8,2000,196.6,2.861
k2,2,16,2000,367.5,2.842
k2,2,32,2000,734.7,2.856
k2,2,64,2000,1402.6,2.873
k2,2,1,8000,25.7,2.875
k2,2,4,8000,100.0,2.886
k2,2,8,8000,183.3,2.824
k2,2,16,8000,383.5,2.803
k2,2,1,14000,24.9,2.807
k2,2,4,14000,93.7,2.803
k2,2,8,14000,188.4,2.84
k2,2,16,14000,397.6,2.862
k4,4,1,2000,21.8,4.735
k4,4,4,2000,76.2,4.313
k4,4,8,2000,157.6,4.593
k4,4,16,2000,261.2,4.489
k4,4,32,2000,544.3,4.474
k4,4,64,2000,1001.4,4.473
k4,4,1,8000,20.7,4.6
k4,4,4,8000,80.3,4.635
k4,4,8,8000,139.8,4.46
k4,4,16,8000,286.0,4.314
k4,4,1,14000,15.0,4.378
k4,4,4,14000,71.2,4.376
k4,4,8,14000,143.8,4.426
k4,4,16,14000,291.9,4.51
k6,6,1,2000,19.4,6.52
k6,6,4,2000,59.9,5.626
k6,6,8,2000,134.7,6.248
k6,6,16,2000,223.2,5.972
k6,6,32,2000,395.2,5.882
k6,6,64,2000,816.5,5.949
k6,6,1,8000,18.8,6.36
k6,6,4,8000,70.4,6.263
k6,6,8,8000,113.3,5.732
k6,6,16,8000,233.2,5.546
k6,6,1,14000,19.5,6.346
k6,6,4,14000,62.3,5.884
k6,6,8,14000,129.8,5.896
k6,6,16,14000,248.4,5.97
