arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,26.3,2.927
k2,2,4,2000,97.6,2.893
k2,2,8,2000,196.5,2.891
k2,2,16,2000,377.5,2.889
k2,2,32,2000,735.1,2.89
k2,2,64,2000,1420.6,2.887
k2,2,1,8000,26.8,2.988
k2,2,4,8000,100.5,2.889
k2,2,8,8000,193.0,2.863
k2,2,16,8000,377.6,2.845
k2,2,1,14000,20.4,2.874
k2,2,4,14000,96.3,2.881
k2,2,8,14000,198.3,2.886
k2,2,16,14000,390.3,2.891
k4,4,1,2000,20.9,4.765
k4,4,4,2000,76.0,4.426
k4,4,8,2000,150.6,4.665
k4,4,16,2000,292.7,4.655
k4,4,32,2000,556.9,4.637
k4,4,64,2000,1054.8,4.636
k4,4,1,8000,21.6,4.889
k4,4,4,8000,79.2,4.646
k4,4,8,8000,153.8,4.565
k4,4,16,8000,260.2,4.365
k4,4,1,14000,19.3,4.5
k4,4,4,14000,73.8,4.58
k4,4,8,14000,137.0,4.481
k4,4,16,14000,294.4,4.624
k6,6,1,2000,19.4,6.833
k6,6,4,2000,60.2,5.861
k6,6,8,2000,118.9,6.295
k6,6,16,2000,236.5,6.305
k6,6,32,2000,482.5,6.197
k6,6,64,2000,913.3,6.275
k6,6,1,8000,19.5,6.6
k6,6,4,8000,66.7,6.178
k6,6,8,8000,128.1,6.12
k6,6,16,8000,234.7,5.802
k6,6,1,14000,18.0,6.002
k6,6,4,14000,62.8,6.005
k6,6,8,14000,124.2,6.043
k6,6,16,14000,252.5,6.179
