arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,150.7,2.927
k2,2,4,2000,459.8,2.958
k2,2,8,2000,839.8,2.995
k2,2,16,2000,1397.3,2.976
k2,2,32,2000,2583.3,2.981
k2,2,64,2000,2589.9,2.974
k2,2,1,8000,156.5,3.0
k2,2,4,8000,454.8,2.986
k2,2,8,8000,823.0,2.986
k2,2,16,8000,805.7,2.977
k2,2,1,14000,162.3,3.0
k2,2,4,14000,449.3,2.986
k2,2,8,14000,495.8,2.973
k2,2,16,14000,601.1,2.973
k4,4,1,2000,130.1,4.735
k4,4,4,2000,480.0,4.885
k4,4,8,2000,806.3,4.927
k4,4,16,2000,1387.8,4.934
k4,4,32,2000,2509.8,4.927
k4,4,64,2000,4408.8,4.923
k4,4,1,8000,143.7,5.0
k4,4,4,8000,487.0,4.953
k4,4,8,8000,803.2,4.941
k4,4,16,8000,1336.7,4.887
k4,4,1,14000,146.9,5.0
k4,4,4,14000,469.2,4.908
k4,4,8,14000,775.6,4.936
k4,4,16,14000,1276.2,4.913
k6,6,1,2000,129.4,6.913
k6,6,4,2000,451.6,6.819
k6,6,8,2000,781.0,6.892
k6,6,16,2000,1362.6,6.84
k6,6,32,2000,2489.5,6.871
k6,6,64,2000,4173.0,6.836
k6,6,1,8000,129.3,7.0
k6,6,4,8000,441.7,6.882
k6,6,8,8000,735.8,6.826
k6,6,16,8000,1269.1,6.8
k6,6,1,14000,128.7,7.0
k6,6,4,14000,447.5,6.924
k6,6,8,14000,720.3,6.819
k6,6,16,14000,1211.8,6.84
