arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,23.8,2.927
k2,2,4,2000,87.8,2.771
k2,2,8,2000,163.2,2.754
k2,2,16,2000,293.8,2.759
k2,2,32,2000,567.9,2.743
k2,2,64,2000,1127.9,2.756
k2,2,1,8000,12.4,2.038
k2,2,4,8000,48.6,2.515
k2,2,8,8000,81.3,2.502
k2,2,16,8000,240.3,2.613
k2,2,1,14000,24.4,2.909
k2,2,4,14000,88.4,2.903
k2,2,8,14000,170.6,2.84
k2,2,16,14000,325.8,2.784
k4,4,1,2000,18.8,4.472
k4,4,4,2000,63.6,4.273
k4,4,8,2000,120.0,4.267
k4,4,16,2000,192.7,4.206
k4,4,32,2000,378.5,4.207
k4,4,64,2000,779.1,4.23
k4,4,1,8000,9.9,2.268
k4,4,4,8000,40.7,3.705
k4,4,8,8000,64.1,3.337
k4,4,16,8000,137.0,3.736
k4,4,1,14000,20.7,4.794
k4,4,4,14000,73.5,4.746
k4,4,8,14000,128.6,4.498
k4,4,16,14000,160.5,4.356
k6,6,1,2000,16.9,5.889
k6,6,4,2000,57.0,5.586
k6,6,8,2000,98.9,5.47
k6,6,16,2000,147.4,5.398
k6,6,32,2000,289.6,5.375
k6,6,64,2000,579.4,5.434
k6,6,1,8000,7.4,2.5
k6,6,4,8000,30.0,4.472
k6,6,8,8000,46.5,4.051
k6,6,16,8000,94.0,4.617
k6,6,1,14000,19.1,6.708
k6,6,4,14000,61.9,6.184
k6,6,8,14000,111.0,5.904
k6,6,16,14000,117.0,5.614
