arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,157.7,2.944
k2,2,4,2000,456.1,2.891
k2,2,8,2000,809.8,2.942
k2,2,16,2000,1431.9,2.958
k2,2,32,2000,2548.7,2.938
k2,2,64,2000,4378.2,2.953
k2,2,1,8000,150.2,2.927
k2,2,4,8000,462.7,2.967
k2,2,8,8000,804.3,2.962
k2,2,16,8000,1310.9,2.955
k2,2,1,14000,168.2,3.0
k2,2,4,14000,480.6,2.958
k2,2,8,14000,795.1,2.957
k4,4,1,2000,154.2,4.969
k4,4,4,2000,462.0,4.765
k4,4,8,2000,802.8,4.833
k4,4,16,2000,1446.6,4.902
k4,4,32,2000,2459.7,4.863
k4,4,64,2000,4227.8,4.846
k4,4,1,8000,150.5,4.909
k4,4,4,8000,466.0,4.915
k4,4,8,8000,793.4,4.925
k4,4,16,8000,1264.1,4.793
k4,4,1,14000,156.0,5.0
k4,4,4,14000,472.6,4.892
k4,4,8,14000,779.3,4.843
k6,6,1,2000,132.4,6.346
k6,6,4,2000,444.8,6.691
k6,6,8,2000,732.0,6.612
k6,6,16,2000,1312.5,6.688
k6,6,32,2000,2408.1,6.73
k6,6,64,2000,4112.4,6.728
k6,6,1,8000,150.7,7.0
k6,6,4,8000,286.1,6.716
k6,6,8,8000,742.2,6.823
k6,6,16,8000,1184.9,6.623
k6,6,1,14000,144.8,7.0
k6,6,4,14000,438.3,6.723
k6,6,8,14000,705.0,6.585
