arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,154.6,2.875
k2,2,4,2000,454.6,2.919
k2,2,8,2000,816.1,2.912
k2,2,16,2000,1355.0,2.925
k2,2,32,2000,2344.6,2.923
k2,2,64,2000,4080.6,2.923
k2,2,1,8000,128.4,2.981
k2,2,4,8000,442.0,2.927
k2,2,8,8000,807.0,2.908
k2,2,16,8000,1288.5,2.909
k2,2,1,14000,171.4,2.963
k2,2,4,14000,422.3,2.867
k2,2,8,14000,790.5,2.916
k4,4,1,2000,148.6,4.706
k4,4,4,2000,472.2,4.57
k4,4,8,2000,761.3,4.679
k4,4,16,2000,1309.5,4.714
k4,4,32,2000,2217.7,4.713
k4,4,64,2000,3697.7,4.725
k4,4,1,8000,152.0,4.848
k4,4,4,8000,478.3,4.785
k4,4,8,8000,769.2,4.747
k4,4,16,8000,1238.7,4.76
k4,4,1,14000,149.4,4.794
k4,4,4,14000,438.1,4.49
k4,4,8,14000,735.6,4.567
k6,6,1,2000,135.5,6.64
k6,6,4,2000,407.1,6.142
k6,6,8,2000,661.5,6.266
k6,6,16,2000,1183.3,6.375
k6,6,32,2000,2153.0,6.431
k6,6,64,2000,3235.3,6.391
k6,6,1,8000,142.4,6.667
k6,6,4,8000,433.5,6.49
k6,6,8,8000,713.9,6.599
k6,6,16,8000,1135.3,6.484
k6,6,1,14000,145.2,6.667
k6,6,4,14000,373.2,5.973
k6,6,8,14000,710.1,6.123
