arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,114.8,2.875
k2,2,4,2000,419.0,2.887
k2,2,8,2000,821.9,2.867
k2,2,16,2000,1387.1,2.892
k2,2,32,2000,2534.8,2.908
k2,2,64,2000,4237.0,2.898
k2,2,1,8000,120.3,2.927
k2,2,4,8000,463.2,2.917
k2,2,8,8000,844.4,2.902
k2,2,16,8000,1321.9,2.905
k2,2,1,14000,127.7,3.0
k2,2,4,14000,483.1,2.962
k2,2,8,14000,811.3,2.931
k4,4,1,2000,94.1,4.297
k4,4,4,2000,368.8,4.521
k4,4,8,2000,752.0,4.629
k4,4,16,2000,1287.3,4.707
k4,4,32,2000,2196.9,4.652
k4,4,64,2000,3914.7,4.627
k4,4,1,8000,110.8,4.818
k4,4,4,8000,415.9,4.826
k4,4,8,8000,726.9,4.731
k4,4,16,8000,1161.4,4.624
k4,4,1,14000,117.2,5.0
k4,4,4,14000,410.5,4.701
k4,4,8,14000,759.6,4.728
k6,6,1,2000,60.9,5.621
k6,6,4,2000,212.9,5.811
k6,6,8,2000,459.3,6.188
k6,6,16,2000,1219.1,6.389
k6,6,32,2000,2081.5,6.203
k6,6,64,2000,3542.8,6.293
k6,6,1,8000,95.9,6.231
k6,6,4,8000,366.6,6.45
k6,6,8,8000,669.2,6.413
k6,6,16,8000,1119.0,6.278
k6,6,1,14000,109.5,7.0
k6,6,4,14000,344.8,6.34
k6,6,8,14000,605.4,6.371
