arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,150.5,2.807
k2,2,4,2000,511.0,2.807
k2,2,8,2000,910.6,2.9
k2,2,16,2000,1598.0,2.876
k2,2,32,2000,2844.3,2.875
k2,2,64,2000,4448.5,2.871
k2,2,1,8000,163.8,2.927
k2,2,4,8000,537.4,2.917
k2,2,8,8000,919.4,2.902
k2,2,16,8000,1468.7,2.884
k2,2,1,14000,173.0,2.963
k2,2,4,14000,518.6,2.876
k2,2,8,14000,869.4,2.901
k4,4,1,2000,136.8,4.378
k4,4,4,2000,493.6,4.367
k4,4,8,2000,915.2,4.595
k4,4,16,2000,1553.6,4.541
k4,4,32,2000,2684.4,4.518
k4,4,64,2000,4138.0,4.502
k4,4,1,8000,153.4,4.765
k4,4,4,8000,534.9,4.676
k4,4,8,8000,893.9,4.755
k4,4,16,8000,1412.1,4.622
k4,4,1,14000,169.2,5.0
k4,4,4,14000,506.2,4.618
k4,4,8,14000,859.5,4.689
k6,6,1,2000,121.6,5.586
k6,6,4,2000,438.7,5.829
k6,6,8,2000,835.8,6.1
k6,6,16,2000,1398.8,6.065
k6,6,32,2000,2559.2,6.097
k6,6,64,2000,4081.3,6.073
k6,6,1,8000,143.1,6.56
k6,6,4,8000,494.0,6.475
k6,6,8,8000,754.2,6.324
k6,6,16,8000,1326.2,6.141
k6,6,1,14000,156.3,6.833
k6,6,4,14000,497.8,6.469
k6,6,8,14000,788.7,6.385
