arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,159.2,2.944
k2,2,4,2000,504.4,2.972
k2,2,8,2000,858.0,2.97
k2,2,16,2000,1545.8,2.965
k2,2,32,2000,2696.4,2.965
k2,2,64,2000,4539.4,2.961
k2,2,1,8000,168.8,3.0
k2,2,4,8000,504.3,2.963
k2,2,8,8000,865.6,2.964
k2,2,16,8000,1401.2,2.977
k2,2,1,14000,171.5,3.0
k2,2,4,14000,492.3,2.958
k2,2,8,14000,834.4,2.985
k4,4,1,2000,140.1,4.629
k4,4,4,2000,488.0,4.864
k4,4,8,2000,847.0,4.92
k4,4,16,2000,1484.9,4.933
k4,4,32,2000,2606.5,4.91
k4,4,64,2000,4315.6,4.88
k4,4,1,8000,146.7,4.909
k4,4,4,8000,499.3,4.922
k4,4,8,8000,805.4,4.903
k4,4,16,8000,1325.1,4.91
k4,4,1,14000,152.2,5.0
k4,4,4,14000,486.4,4.945
k4,4,8,14000,807.5,4.917
k6,6,1,2000,132.9,6.154
k6,6,4,2000,461.6,6.673
k6,6,8,2000,820.3,6.877
k6,6,16,2000,1470.0,6.816
k6,6,32,2000,2483.9,6.746
k6,6,64,2000,4361.1,6.745
k6,6,1,8000,145.9,6.875
k6,6,4,8000,485.4,6.851
k6,6,8,8000,815.8,6.838
k6,6,16,8000,1255.4,6.804
k6,6,1,14000,156.8,7.0
k6,6,4,14000,465.8,6.734
k6,6,8,14000,810.1,6.835
