arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,145.5,2.759
k2,2,4,2000,422.6,2.665
k2,2,8,2000,715.8,2.658
k2,2,16,2000,1213.3,2.692
k2,2,32,2000,2198.7,2.711
k2,2,64,2000,3826.8,2.725
k2,2,1,8000,110.6,1.988
k2,2,4,8000,374.5,2.54
k2,2,8,8000,706.7,2.639
k2,2,16,8000,1202.1,2.681
k2,2,1,14000,142.3,2.981
k2,2,4,14000,420.5,2.661
k2,2,8,14000,667.8,2.627
k4,4,1,2000,121.3,4.05
k4,4,4,2000,348.3,3.909
k4,4,8,2000,553.0,3.876
k4,4,16,2000,978.1,4.08
k4,4,32,2000,1829.6,4.03
k4,4,64,2000,2966.1,4.121
k4,4,1,8000,74.8,2.439
k4,4,4,8000,302.9,3.684
k4,4,8,8000,542.3,3.883
k4,4,16,8000,940.4,3.901
k4,4,1,14000,154.4,4.879
k4,4,4,14000,309.1,3.778
k4,4,8,14000,474.8,3.69
k6,6,1,2000,107.8,4.939
k6,6,4,2000,214.5,4.865
k6,6,8,2000,410.0,4.842
k6,6,16,2000,785.4,5.222
k6,6,32,2000,1522.9,5.16
k6,6,64,2000,2994.3,5.371
k6,6,1,8000,57.3,2.587
k6,6,4,8000,213.7,4.315
k6,6,8,8000,394.0,4.744
k6,6,16,8000,758.0,4.837
k6,6,1,14000,160.5,6.913
k6,6,4,14000,234.7,4.669
k6,6,8,14000,346.0,4.553
