arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,69.3,2.945
k2,2,4,2000,259.7,2.923
k2,2,8,2000,509.5,2.941
k2,2,16,2000,574.2,2.915
k2,2,32,2000,658.1,2.92
k2,2,64,2000,770.6,2.922
k2,2,1,8000,68.3,2.927
k2,2,4,8000,249.9,2.954
k2,2,8,8000,259.4,2.945
k2,2,16,8000,262.8,2.927
k2,2,1,14000,68.7,2.945
k2,2,4,14000,129.5,2.91
k2,2,8,14000,130.7,2.923
k4,4,1,2000,70.7,4.879
k4,4,4,2000,258.5,4.799
k4,4,8,2000,500.0,4.779
k4,4,16,2000,697.4,4.751
k4,4,32,2000,711.8,4.739
k4,4,64,2000,762.7,4.742
k4,4,1,8000,69.0,4.879
k4,4,4,8000,254.2,4.85
k4,4,8,8000,259.2,4.825
k4,4,16,8000,257.1,4.776
k4,4,1,14000,65.9,4.706
k4,4,4,14000,123.0,4.662
k4,4,8,14000,124.7,4.703
k6,6,1,2000,63.9,6.64
k6,6,4,2000,236.2,6.455
k6,6,8,2000,439.7,6.465
k6,6,16,2000,479.0,6.591
k6,6,32,2000,623.8,6.532
k6,6,64,2000,715.1,6.436
k6,6,1,8000,64.6,6.56
k6,6,4,8000,126.9,6.545
k6,6,8,8000,174.6,6.662
k6,6,16,8000,175.4,6.698
k6,6,1,14000,59.3,6.037
k6,6,4,14000,116.5,6.398
k6,6,8,14000,110.7,6.314
