arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,72.3,2.909
k2,2,4,2000,266.3,2.918
k2,2,8,2000,522.0,2.933
k2,2,16,2000,954.3,2.908
k2,2,32,2000,1132.4,2.912
k2,2,64,2000,1221.1,2.91
k2,2,1,8000,73.0,3.0
k2,2,4,8000,258.7,2.944
k2,2,8,8000,466.5,2.923
k2,2,16,8000,460.7,2.925
k2,2,1,14000,70.8,2.981
k2,2,4,14000,247.9,2.939
k2,2,8,14000,249.1,2.942
k4,4,1,2000,70.2,4.706
k4,4,4,2000,265.2,4.741
k4,4,8,2000,487.1,4.721
k4,4,16,2000,873.8,4.702
k4,4,32,2000,1130.2,4.695
k4,4,64,2000,1152.6,4.683
k4,4,1,8000,72.9,5.0
k4,4,4,8000,243.7,4.696
k4,4,8,8000,432.5,4.677
k4,4,16,8000,445.4,4.727
k4,4,1,14000,65.1,4.571
k4,4,4,14000,224.6,4.536
k4,4,8,14000,228.1,4.604
k6,6,1,2000,65.8,6.308
k6,6,4,2000,234.3,6.324
k6,6,8,2000,481.8,6.457
k6,6,16,2000,789.4,6.262
k6,6,32,2000,897.9,6.276
k6,6,64,2000,1077.4,6.257
k6,6,1,8000,71.7,7.0
k6,6,4,8000,226.5,6.37
k6,6,8,8000,249.5,6.184
k6,6,16,8000,283.3,6.312
k6,6,1,14000,62.6,6.346
k6,6,4,14000,215.9,6.277
k6,6,8,14000,224.8,6.411
