arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,82.3,2.875
k2,2,4,2000,307.8,2.84
k2,2,8,2000,579.3,2.861
k2,2,16,2000,1061.7,2.854
k2,2,32,2000,1869.9,2.859
k2,2,64,2000,2864.0,2.839
k2,2,1,8000,85.3,3.0
k2,2,4,8000,287.3,2.89
k2,2,8,8000,504.3,2.885
k2,2,16,8000,807.7,2.848
k2,2,1,14000,79.3,2.839
k2,2,4,14000,267.7,2.88
k2,2,8,14000,441.2,2.858
k4,4,1,2000,80.8,4.657
k4,4,4,2000,300.6,4.626
k4,4,8,2000,531.1,4.509
k4,4,16,2000,977.1,4.526
k4,4,32,2000,1696.4,4.489
k4,4,64,2000,2467.9,4.539
k4,4,1,8000,86.7,5.0
k4,4,4,8000,271.8,4.518
k4,4,8,8000,436.7,4.502
k4,4,16,8000,752.5,4.546
k4,4,1,14000,78.6,4.6
k4,4,4,14000,249.6,4.551
k4,4,8,14000,442.4,4.576
k6,6,1,2000,70.3,5.69
k6,6,4,2000,290.7,6.132
k6,6,8,2000,502.4,5.833
k6,6,16,2000,887.5,5.96
k6,6,32,2000,1569.8,5.999
k6,6,64,2000,2281.6,6.006
k6,6,1,8000,83.5,6.667
k6,6,4,8000,250.0,6.124
k6,6,8,8000,418.1,5.976
k6,6,16,8000,688.8,5.998
k6,6,1,14000,75.5,6.192
k6,6,4,14000,233.9,6.028
k6,6,8,14000,415.5,6.209
