arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,86.6,2.875
k2,2,4,2000,329.1,2.896
k2,2,8,2000,630.2,2.898
k2,2,16,2000,1162.3,2.866
k2,2,32,2000,1874.9,2.87
k2,2,64,2000,2794.7,2.875
k2,2,1,8000,90.8,3.0
k2,2,4,8000,316.2,2.912
k2,2,8,8000,550.1,2.914
k2,2,16,8000,893.2,2.923
k2,2,1,14000,84.7,2.875
k2,2,4,14000,283.0,2.916
k2,2,8,14000,478.0,2.903
k4,4,1,2000,87.0,4.657
k4,4,4,2000,309.5,4.621
k4,4,8,2000,609.7,4.606
k4,4,16,2000,1007.4,4.532
k4,4,32,2000,1622.4,4.572
k4,4,64,2000,2301.6,4.557
k4,4,1,8000,91.4,4.879
k4,4,4,8000,314.9,4.746
k4,4,8,8000,531.1,4.695
k4,4,16,8000,821.9,4.641
k4,4,1,14000,71.7,4.818
k4,4,4,14000,230.5,4.561
k4,4,8,14000,485.1,4.739
k6,6,1,2000,85.0,6.346
k6,6,4,2000,314.0,6.16
k6,6,8,2000,554.2,6.07
k6,6,16,2000,952.2,6.031
k6,6,32,2000,1530.7,6.075
k6,6,64,2000,2283.2,6.107
k6,6,1,8000,90.5,6.625
k6,6,4,8000,305.8,6.582
k6,6,8,8000,493.9,6.151
k6,6,16,8000,776.8,6.246
k6,6,1,14000,89.0,6.708
k6,6,4,14000,259.9,6.194
k6,6,8,14000,433.4,6.194
