arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,82.3,2.875
k2,2,4,2000,316.5,2.949
k2,2,8,2000,616.4,2.954
k2,2,16,2000,1109.0,2.945
k2,2,32,2000,1915.6,2.948
k2,2,64,2000,2427.0,2.949
k2,2,1,8000,85.8,3.0
k2,2,4,8000,299.6,2.94
k2,2,8,8000,546.7,2.979
k2,2,16,8000,869.2,2.959
k2,2,1,14000,82.1,2.927
k2,2,4,14000,283.0,2.958
k2,2,8,14000,475.5,2.952
k4,4,1,2000,90.4,5.0
k4,4,4,2000,308.0,4.828
k4,4,8,2000,619.3,4.849
k4,4,16,2000,1063.0,4.822
k4,4,32,2000,1711.8,4.784
k4,4,64,2000,2045.0,4.795
k4,4,1,8000,87.7,5.0
k4,4,4,8000,306.9,4.885
k4,4,8,8000,543.8,4.91
k4,4,16,8000,827.6,4.823
k4,4,1,14000,79.3,4.543
k4,4,4,14000,280.8,4.788
k4,4,8,14000,466.1,4.758
k6,6,1,2000,91.7,6.913
k6,6,4,2000,327.3,6.842
k6,6,8,2000,554.8,6.587
k6,6,16,2000,1028.9,6.589
k6,6,32,2000,1645.1,6.586
k6,6,64,2000,2016.5,6.64
k6,6,1,8000,85.0,6.75
k6,6,4,8000,291.4,6.677
k6,6,8,8000,529.8,6.822
k6,6,16,8000,811.1,6.76
k6,6,1,14000,79.8,6.44
k6,6,4,14000,284.0,6.737
k6,6,8,14000,449.9,6.728
