arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,65.3,2.712
k2,2,4,2000,220.4,2.636
k2,2,8,2000,444.0,2.711
k2,2,16,2000,803.4,2.663
k2,2,32,2000,866.4,2.646
k2,2,64,2000,1149.3,2.682
k2,2,1,8000,50.2,2.038
k2,2,4,8000,203.1,2.538
k2,2,8,8000,249.6,2.593
k2,2,16,8000,317.8,2.592
k2,2,1,14000,63.3,2.565
k2,2,4,14000,129.2,2.665
k2,2,8,14000,157.4,2.638
k4,4,1,2000,66.4,4.543
k4,4,4,2000,185.0,4.038
k4,4,8,2000,373.9,4.028
k4,4,16,2000,567.3,3.994
k4,4,32,2000,698.1,3.953
k4,4,64,2000,928.2,4.027
k4,4,1,8000,37.8,2.607
k4,4,4,8000,150.0,3.427
k4,4,8,8000,210.2,3.676
k4,4,16,8000,277.5,3.69
k4,4,1,14000,55.9,3.81
k4,4,4,14000,110.5,3.619
k4,4,8,14000,129.1,3.656
k6,6,1,2000,60.6,6.111
k6,6,4,2000,152.1,4.992
k6,6,8,2000,307.4,5.104
k6,6,16,2000,498.7,4.982
k6,6,32,2000,594.0,5.052
k6,6,64,2000,686.1,5.055
k6,6,1,8000,28.6,2.695
k6,6,4,8000,114.4,4.019
k6,6,8,8000,177.5,4.347
k6,6,16,8000,198.2,4.425
k6,6,1,14000,48.2,4.6
k6,6,4,14000,94.2,4.713
k6,6,8,14000,87.7,4.63
