arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,120.2,3.0
k2,2,4,2000,653.0,2.958
k2,2,8,2000,1231.8,2.948
k2,2,16,2000,2034.1,2.936
k2,2,32,2000,3331.5,2.945
k2,2,64,2000,4743.2,2.959
k2,2,128,2000,5739.4,2.956
k2,2,1,8000,142.2,2.944
k2,2,4,8000,539.6,2.926
k2,2,8,8000,905.8,2.955
k2,2,16,8000,1286.4,2.949
k2,2,32,8000,1699.7,2.94
k2,2,1,14000,163.4,2.981
k2,2,4,14000,471.3,2.947
k2,2,8,14000,716.6,2.954
k2,2,16,14000,949.3,2.94
k4,4,1,2000,174.3,4.735
k4,4,4,2000,659.0,4.836
k4,4,8,2000,1194.6,4.841
k4,4,16,2000,1996.4,4.82
k4,4,32,2000,3275.7,4.822
k4,4,64,2000,4438.8,4.822
k4,4,128,2000,5342.8,4.812
k4,4,1,8000,162.8,4.571
k4,4,4,8000,525.4,4.679
k4,4,8,8000,859.4,4.763
k4,4,16,8000,1269.3,4.827
k4,4,32,8000,1627.9,4.801
k4,4,1,14000,112.8,5.0
k4,4,4,14000,481.7,4.84
k4,4,8,14000,725.7,4.877
k4,4,16,14000,892.3,4.747
k6,6,1,2000,176.6,6.667
k6,6,4,2000,379.9,6.643
k6,6,8,2000,792.9,6.649
k6,6,16,2000,1941.2,6.686
k6,6,32,2000,2988.5,6.602
k6,6,64,2000,4262.6,6.682
k6,6,128,2000,5002.1,6.633
k6,6,1,8000,165.9,6.52
k6,6,4,8000,537.3,6.608
k6,6,8,8000,829.0,6.486
k6,6,16,8000,1193.9,6.617
k6,6,32,8000,1558.5,6.641
k6,6,1,14000,164.7,6.875
k6,6,4,14000,466.2,6.621
k6,6,8,14000,675.7,6.663
k6,6,16,14000,833.8,6.545
