arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,157.7,2.825
k2,2,4,2000,595.4,2.874
k2,2,8,2000,1101.4,2.892
k2,2,16,2000,1919.2,2.876
k2,2,32,2000,3087.6,2.885
k2,2,64,2000,4519.0,2.898
k2,2,128,2000,5613.3,2.89
k2,2,1,8000,156.4,2.839
k2,2,4,8000,507.4,2.851
k2,2,8,8000,830.0,2.896
k2,2,16,8000,1225.9,2.892
k2,2,32,8000,1602.8,2.898
k2,2,1,14000,155.8,2.944
k2,2,4,14000,426.0,2.881
k2,2,8,14000,678.3,2.896
k2,2,16,14000,912.0,2.9
k4,4,1,2000,140.6,4.103
k4,4,4,2000,548.2,4.576
k4,4,8,2000,1033.0,4.633
k4,4,16,2000,1801.3,4.604
k4,4,32,2000,2804.1,4.583
k4,4,64,2000,4092.0,4.64
k4,4,128,2000,5024.1,4.628
k4,4,1,8000,151.8,4.571
k4,4,4,8000,483.1,4.612
k4,4,8,8000,766.1,4.629
k4,4,16,8000,1144.5,4.631
k4,4,32,8000,1524.3,4.666
k4,4,1,14000,147.9,4.765
k4,4,4,14000,383.3,4.547
k4,4,8,14000,616.2,4.603
k4,4,16,14000,836.2,4.609
k6,6,1,2000,121.4,5.467
k6,6,4,2000,509.4,6.048
k6,6,8,2000,954.8,6.114
k6,6,16,2000,1642.3,6.177
k6,6,32,2000,1955.3,6.188
k6,6,64,2000,3722.9,6.239
k6,6,128,2000,4639.6,6.21
k6,6,1,8000,141.9,6.192
k6,6,4,8000,465.9,6.184
k6,6,8,8000,714.4,6.238
k6,6,16,8000,1089.8,6.222
k6,6,32,8000,1406.7,6.326
k6,6,1,14000,150.1,6.708
k6,6,4,14000,383.7,6.255
k6,6,8,14000,566.8,6.153
k6,6,16,14000,763.3,6.206
