arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,155.6,3.0
k2,2,4,2000,594.1,2.991
k2,2,8,2000,1098.8,2.982
k2,2,16,2000,1984.2,2.984
k2,2,32,2000,3063.0,2.979
k2,2,64,2000,4426.5,2.976
k2,2,128,2000,5433.8,2.979
k2,2,1,8000,151.5,3.0
k2,2,4,8000,494.2,2.972
k2,2,8,8000,836.6,2.979
k2,2,16,8000,1274.2,2.972
k2,2,32,8000,1632.6,2.98
k2,2,1,14000,148.2,3.0
k2,2,4,14000,446.8,2.986
k2,2,8,14000,680.1,2.976
k2,2,16,14000,929.7,2.981
k4,4,1,2000,152.8,5.0
k4,4,4,2000,582.3,4.992
k4,4,8,2000,1068.2,4.947
k4,4,16,2000,1930.6,4.932
k4,4,32,2000,2960.0,4.942
k4,4,64,2000,4135.1,4.92
k4,4,128,2000,4983.0,4.932
k4,4,1,8000,144.8,4.848
k4,4,4,8000,500.9,4.984
k4,4,8,8000,793.0,4.895
k4,4,16,8000,1239.5,4.946
k4,4,32,8000,1570.7,4.907
k4,4,1,14000,144.1,5.0
k4,4,4,14000,432.6,4.922
k4,4,8,14000,657.2,4.952
k4,4,16,14000,914.9,4.956
k6,6,1,2000,150.5,7.0
k6,6,4,2000,563.5,6.946
k6,6,8,2000,995.5,6.851
k6,6,16,2000,1813.7,6.839
k6,6,32,2000,2843.2,6.872
k6,6,64,2000,3991.7,6.876
k6,6,128,2000,4699.7,6.836
k6,6,1,8000,145.8,7.0
k6,6,4,8000,473.8,6.83
k6,6,8,8000,807.8,6.929
k6,6,16,8000,1222.4,6.899
k6,6,32,8000,1519.5,6.871
k6,6,1,14000,140.7,7.0
k6,6,4,14000,419.9,6.849
k6,6,8,14000,620.0,6.852
k6,6,16,14000,881.6,6.87
