arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,184.6,2.857
k2,2,4,2000,694.4,2.852
k2,2,8,2000,1268.3,2.858
k2,2,16,2000,2019.5,2.834
k2,2,32,2000,3233.9,2.84
k2,2,64,2000,4611.3,2.858
k2,2,128,2000,5687.9,2.862
k2,2,1,8000,181.5,2.875
k2,2,4,8000,592.1,2.882
k2,2,8,8000,956.2,2.883
k2,2,16,8000,1358.4,2.875
k2,2,32,8000,1776.5,2.875
k2,2,1,14000,171.6,2.825
k2,2,4,14000,520.2,2.876
k2,2,8,14000,762.7,2.878
k2,2,16,14000,1025.3,2.875
k4,4,1,2000,184.1,4.571
k4,4,4,2000,614.7,4.302
k4,4,8,2000,1190.1,4.444
k4,4,16,2000,1811.1,4.402
k4,4,32,2000,2850.6,4.463
k4,4,64,2000,3961.0,4.431
k4,4,128,2000,4923.6,4.486
k4,4,1,8000,179.1,4.543
k4,4,4,8000,605.8,4.774
k4,4,8,8000,945.8,4.677
k4,4,16,8000,1249.4,4.517
k4,4,32,8000,1591.8,4.503
k4,4,1,14000,162.8,4.289
k4,4,4,14000,496.9,4.518
k4,4,8,14000,699.3,4.395
k4,4,16,14000,966.6,4.589
k6,6,1,2000,178.0,6.115
k6,6,4,2000,611.0,5.699
k6,6,8,2000,1075.8,5.94
k6,6,16,2000,1634.2,5.807
k6,6,32,2000,2608.1,5.929
k6,6,64,2000,3368.4,5.916
k6,6,128,2000,4410.4,5.99
k6,6,1,8000,173.7,6.308
k6,6,4,8000,570.5,6.502
k6,6,8,8000,840.4,6.169
k6,6,16,8000,1130.2,5.999
k6,6,32,8000,1474.0,6.022
k6,6,1,14000,160.6,5.963
k6,6,4,14000,453.4,6.067
k6,6,8,14000,615.8,5.719
k6,6,16,14000,923.7,6.278
