model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
llama,16384,ig_2,0.9097,0.9151,1152,12
llama,16384,ig_3,0.9184,0.9212,1152,12
llama,16384,ig_4,0.9062,0.9161,1152,12
llama,16384,ig_5,0.9149,0.9174,1152,12
llama,16384,ig_6,0.9106,0.9167,1152,12
llama,16384,ig_7,0.9089,0.9132,1152,12
llama,16384,ig_8,0.9097,0.9162,1152,12
llama,16384,ig_9,0.9054,0.9141,1152,12
llama,16384,ig_10,0.9062,0.9128,1152,12
llama,16384,ig_11,0.9054,0.9069,1152,12
llama,16384,ig_12,0.8906,0.9001,1152,12
llama,16384,ig_13,0.8898,0.8971,1152,12
llama,16384,ig_14,0.8993,0.8947,1152,12
llama,16384,ig_15,0.8837,0.8869,1152,12
llama,16384,ig_16,0.8854,0.8856,1152,12
llama,16384,ig_17,0.8906,0.8886,1152,12
llama,16384,ig_18,0.875,0.8837,1152,12
llama,16384,ig_19,0.8811,0.8849,1152,12
llama,16384,ig_20,0.8663,0.8853,1152,12
llama,16384,ig_21,0.8906,0.888,1152,12
llama,16384,ig_22,0.8898,0.8866,1152,12
llama,16384,ig_23,0.8854,0.8921,1152,12
llama,16384,ig_24,0.8863,0.8908,1152,12
llama,16384,ig_25,0.8898,0.8935,1152,12
llama,16384,ig_26,0.8958,0.8906,1152,12
llama,16384,ig_27,0.8915,0.891,1152,12
llama,16384,ig_28,0.8906,0.8926,1152,12
llama,16384,ig_29,0.8689,0.8659,1152,12
llama,16384,igs_3-5,0.8785,0.8687,1152,12
llama,16384,igs_3-6,0.8759,0.8693,1152,12
llama,16384,igs_2-3,0.8767,0.8698,1152,12
llama,16384,igs_3-8,0.8872,0.8755,1152,12
llama,16384,igs_3-7,0.8811,0.8705,1152,12
llama,16384,igs_3-4,0.8837,0.8722,1152,12
llama,16384,igs_3-10,0.8811,0.8727,1152,12
llama,16384,igs_3-9,0.875,0.8711,1152,12
llama,16384,igs_3-4-8,0.8628,0.846,1152,12
llama,16384,igs_3-7-8,0.8585,0.8427,1152,12
llama,16384,igs_3-8-10,0.8542,0.8424,1152,12
llama,16384,igs_3-5-8,0.8455,0.8397,1152,12
llama,16384,igs_2-3-8,0.8568,0.8417,1152,12
llama,16384,igs_3-6-8,0.8602,0.8432,1152,12
llama,16384,igs_3-8-9,0.849,0.8437,1152,12
llama,16384,igs_3-4-6-8,0.8238,0.7952,1152,12
llama,16384,igs_3-4-7-8,0.8229,0.796,1152,12
llama,16384,igs_2-3-4-8,0.809,0.7802,1152,12
llama,16384,igs_3-4-8-10,0.8186,0.7921,1152,12
llama,16384,igs_3-4-8-9,0.8212,0.7935,1152,12
llama,16384,igs_3-4-5-8,0.8238,0.7992,1152,12
