model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
mla,16384,ig_2,0.9887,0.9873,1152,12
mla,16384,ig_3,0.9826,0.9824,1152,12
mla,16384,ig_4,0.9878,0.9785,1152,12
mla,16384,ig_5,0.987,0.9763,1152,12
mla,16384,ig_6,0.987,0.9889,1152,12
mla,16384,ig_7,0.9939,0.987,1152,12
mla,16384,ig_8,0.9896,0.9921,1152,12
mla,16384,ig_9,0.9922,0.9901,1152,12
mla,16384,ig_10,0.9913,0.9927,1152,12
mla,16384,ig_11,0.9965,0.9748,1152,12
mla,16384,ig_12,0.9792,0.9503,1152,12
mla,16384,ig_13,0.9931,0.994,1152,12
mla,16384,ig_14,0.9922,0.9942,1152,12
mla,16384,ig_15,0.9948,0.992,1152,12
mla,16384,ig_16,0.9948,0.9939,1152,12
mla,16384,ig_17,0.9896,0.9915,1152,12
mla,16384,ig_18,0.9896,0.988,1152,12
mla,16384,ig_19,0.9861,0.974,1152,12
mla,16384,ig_20,0.9896,0.99,1152,12
mla,16384,ig_21,0.9896,0.9882,1152,12
mla,16384,ig_22,0.9905,0.988,1152,12
mla,16384,ig_23,0.987,0.9776,1152,12
mla,16384,ig_24,0.9896,0.9836,1152,12
mla,16384,igs_11-15,0.9852,0.9266,1152,12
mla,16384,igs_11-16,0.9931,0.9355,1152,12
mla,16384,igs_7-11,0.9618,0.8911,1152,12
mla,16384,igs_11-13,0.9774,0.9264,1152,12
mla,16384,igs_9-11,0.9792,0.9277,1152,12
mla,16384,igs_11-14,0.9705,0.925,1152,12
mla,16384,igs_10-11,0.9948,0.951,1152,12
mla,16384,igs_11-22,0.98,0.9325,1152,12
mla,16384,igs_10-11-16,0.9922,0.9447,1152,12
mla,16384,igs_10-11-15,0.98,0.9324,1152,12
mla,16384,igs_10-11-22,0.9792,0.9348,1152,12
mla,16384,igs_9-10-11,0.9575,0.9157,1152,12
mla,16384,igs_10-11-13,0.9818,0.9376,1152,12
mla,16384,igs_10-11-14,0.9792,0.9363,1152,12
mla,16384,igs_7-10-11,0.9497,0.8907,1152,12
mla,16384,igs_10-11-13-16,0.9601,0.9319,1152,12
mla,16384,igs_10-11-15-16,0.9679,0.9159,1152,12
mla,16384,igs_10-11-16-22,0.9852,0.9387,1152,12
mla,16384,igs_10-11-14-16,0.9644,0.9319,1152,12
mla,16384,igs_9-10-11-16,0.9314,0.8805,1152,12
mla,16384,igs_7-10-11-16,0.9332,0.8598,1152,12
