model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
moe,16384,ig_2,0.947,0.9549,1152,12
moe,16384,ig_3,0.9497,0.9528,1152,12
moe,16384,ig_4,0.9549,0.9584,1152,12
moe,16384,ig_5,0.9514,0.9553,1152,12
moe,16384,ig_6,0.9514,0.9548,1152,12
moe,16384,ig_7,0.9497,0.9549,1152,12
moe,16384,ig_8,0.9488,0.9537,1152,12
moe,16384,ig_9,0.9514,0.9571,1152,12
moe,16384,ig_10,0.9505,0.9559,1152,12
moe,16384,ig_11,0.9531,0.9567,1152,12
moe,16384,ig_12,0.9488,0.9558,1152,12
moe,16384,ig_13,0.9566,0.9577,1152,12
moe,16384,ig_14,0.9514,0.9551,1152,12
moe,16384,ig_15,0.9583,0.9578,1152,12
moe,16384,ig_16,0.9557,0.956,1152,12
moe,16384,ig_17,0.9523,0.9546,1152,12
moe,16384,ig_18,0.9497,0.9551,1152,12
moe,16384,ig_19,0.9514,0.9533,1152,12
moe,16384,ig_20,0.9488,0.95,1152,12
moe,16384,ig_21,0.9488,0.9569,1152,12
moe,16384,ig_22,0.947,0.9549,1152,12
moe,16384,ig_23,0.9523,0.9557,1152,12
moe,16384,ig_24,0.9523,0.9543,1152,12
moe,16384,ig_25,0.9497,0.9517,1152,12
moe,16384,ig_26,0.941,0.9499,1152,12
moe,16384,ig_27,0.9453,0.9505,1152,12
moe,16384,ig_28,0.9453,0.9467,1152,12
moe,16384,ig_29,0.941,0.9479,1152,12
moe,16384,ig_30,0.9401,0.9446,1152,12
moe,16384,ig_31,0.9427,0.9465,1152,12
moe,16384,ig_32,0.9427,0.9461,1152,12
moe,16384,ig_33,0.9418,0.9435,1152,12
moe,16384,ig_34,0.9479,0.9483,1152,12
moe,16384,ig_35,0.9505,0.9499,1152,12
moe,16384,ig_36,0.9401,0.9446,1152,12
moe,16384,ig_37,0.9245,0.9348,1152,12
moe,16384,ig_38,0.9271,0.9323,1152,12
moe,16384,ig_39,0.9245,0.9274,1152,12
moe,16384,ig_40,0.9219,0.9229,1152,12
moe,16384,ig_41,0.901,0.9055,1152,12
moe,16384,ig_42,0.9097,0.9077,1152,12
moe,16384,ig_43,0.9297,0.9269,1152,12
moe,16384,ig_44,0.9201,0.9301,1152,12
moe,16384,ig_45,0.9253,0.9314,1152,12
moe,16384,igs_13-15,0.9288,0.9247,1152,12
moe,16384,igs_15-16,0.9262,0.9225,1152,12
moe,16384,igs_4-15,0.9288,0.9262,1152,12
moe,16384,igs_11-15,0.9236,0.925,1152,12
moe,16384,igs_15-17,0.9271,0.925,1152,12
moe,16384,igs_15-23,0.9297,0.9256,1152,12
moe,16384,igs_15-24,0.9227,0.9218,1152,12
moe,16384,igs_5-15,0.9288,0.9236,1152,12
moe,16384,igs_13-15-23,0.9167,0.9079,1152,12
moe,16384,igs_4-15-23,0.9123,0.9078,1152,12
moe,16384,igs_5-15-23,0.908,0.9066,1152,12
moe,16384,igs_15-17-23,0.9115,0.9063,1152,12
moe,16384,igs_15-16-23,0.9097,0.9046,1152,12
moe,16384,igs_11-15-23,0.9106,0.9065,1152,12
moe,16384,igs_15-23-24,0.9054,0.9037,1152,12
moe,16384,igs_4-13-15-23,0.8863,0.8786,1152,12
moe,16384,igs_13-15-17-23,0.8785,0.8756,1152,12
moe,16384,igs_11-13-15-23,0.8845,0.8757,1152,12
moe,16384,igs_13-15-16-23,0.8828,0.8739,1152,12
moe,16384,igs_5-13-15-23,0.8863,0.8776,1152,12
moe,16384,igs_13-15-23-24,0.8872,0.878,1152,12
